term,source,es,nes,nom_p_value,fdr_q_value,tag_pct,gene_pct,lead_genes
mitotic cell cycle phase transition (GO:0044772),GO_Biological_Process_2021,-0.5752464218190941,-1.6308475748861135,0.006321112515802781,1.0,8/35,5.37%,Tuba1a;Gspt1;Ppp1cb;Chmp4b;Nes;Hsp90aa1;Ppp1r12b;Chmp2a
gene expression (GO:0010467),GO_Biological_Process_2021,-0.43818932599000493,-1.4184121239916494,0.019318181818181818,1.0,35/88,26.06%,Gspt1;Rbm3;Rplp0;Polr2d;Rps2;Polr2e;Rps8;Rpl18;Alyref;Syncrip;Eif4g1;Hnrnpf;Rps17;Cops5;Polr2i;Tpr;Rpl22;Hnrnpk;Eif4e;Rps20;Rps11;Pabpn1;Hnrnpu;Hnrnpl;Rps14;Hnrnph1;Rps13;Ptma;Rpl5;Rps19;Eif4a3;Rps16;Rpsa;Nup37;Rps26
Chemical carcinogenesis,KEGG_2019_Mouse,-0.6695900975419563,-1.5897643392950234,0.024896265560165973,1.0,2/15,1.08%,Gsta3;Nat2
Tight junction,KEGG_2019_Mouse,-0.5270812895445057,-1.4918782855023824,0.02729528535980149,1.0,9/36,9.86%,Tuba1a;Ppp2cb;Ybx3;Cttn;Myl12b;Prkaca;Myh11;Nedd4l;Vasp
chromosome organization (GO:0051276),GO_Biological_Process_2021,-0.623438318739912,-1.5092062097708532,0.028225806451612902,1.0,8/17,18.99%,Cops2;Hmgb2;Parp1;Cops6;Cops5;Gps1;Cops8;Cops4
regulation of translation (GO:0006417),GO_Biological_Process_2021,-0.46448542791741776,-1.394545397825292,0.0337995337995338,1.0,19/51,23.68%,Gspt1;Rbm3;Eif4h;Cyfip1;Eif4b;Ybx1;Metap1;Eif5;Syncrip;Eif4g1;Caprin1;Impact;Etf1;Eif3e;Eif4e;Cirbp;Eif3h;Rpl5;Eif4a3
Pyruvate metabolism,KEGG_2019_Mouse,-0.5583562346212085,-1.4526168964086414,0.04155495978552279,1.0,6/22,15.58%,Grhpr;Acat2;Mdh1;Acaca;Pdhb;Dld
post-Golgi vesicle-mediated transport (GO:0006892),GO_Biological_Process_2021,-0.5929240622587982,-1.4647093122442905,0.041720990873533245,1.0,6/18,12.13%,Sort1;Napa;Chmp2a;Ap1s2;Ap1m1;Rabif
cell cycle G2/M phase transition (GO:0044839),GO_Biological_Process_2021,-0.5490178036291258,-1.4571117274064933,0.048366013071895426,1.0,5/24,2.73%,Tuba1a;Ppp1cb;Nes;Hsp90aa1;Ppp1r12b
G2/M transition of mitotic cell cycle (GO:0000086),GO_Biological_Process_2021,-0.5490178036291258,-1.4571117274064933,0.048366013071895426,1.0,5/24,2.73%,Tuba1a;Ppp1cb;Nes;Hsp90aa1;Ppp1r12b
carbohydrate catabolic process (GO:0016052),GO_Biological_Process_2021,-0.5430590757807117,-1.394784068859462,0.04920212765957447,1.0,10/21,30.80%,Dera;Naga;Neu1;Aldoc;Eno3;Man2c1;Pgk1;Eno1;Man2b2;Aldoa
RNA transport,KEGG_2019_Mouse,-0.4631464464779973,-1.3738421171432533,0.059453032104637336,1.0,21/45,25.80%,Eif3a;Cyfip1;Eif4b;Eif2s3x;Alyref;Eif3f;Eif1a;Eif1ax;Eif5;Eif4g1;Tpr;Trnt1;Eif3e;Eif4e;Strap;Elac2;Eif3h;Sumo2;Eif4a3;Eif2s1;Nup37
axonogenesis (GO:0007409),GO_Biological_Process_2021,-0.46252283646706743,-1.3788783014685029,0.0603448275862069,1.0,21/45,37.25%,Cyfip1;Hsp90aa1;Efnb1;Sptbn1;Vasp;Sema6c;Slit3;Sema6d;Sema5a;Enah;Sema4b;Lypla2;Usp9x;Sptan1;Lama2;Grb2;Mapk1;B4galt5;Sema3e;Pdlim7;Ezr
cellular macromolecule biosynthetic process (GO:0034645),GO_Biological_Process_2021,-0.4175330218680546,-1.3203970535633784,0.07322654462242563,1.0,38/74,35.19%,Gspt1;Rplp0;Ext2;Polr2d;Rps2;Polr2e;Rps8;Rpl18;Ext1;Kin;Eif4g1;Rps17;Cops5;Polr2i;Set;Rpl22;Rps20;Rps11;Rps14;Rps13;Ptma;Rpl5;Rps19;Rpa3;Rps16;Rpsa;Rps26;Polr2h;Ptms;Polr2g;Rps3a;Apoe;Rps25;Rplp1;Rps3;B4galt5;Rragc;Rps18
"regulation of mRNA splicing, via spliceosome (GO:0048024)",GO_Biological_Process_2021,-0.5429203615209455,-1.3947306590516213,0.07785234899328859,1.0,7/20,20.95%,Rbm3;Thrap3;Hnrnpk;Cirbp;Hnrnpu;Hnrnpl;Rbmxl1
endoplasmic reticulum organization (GO:0007029),GO_Biological_Process_2021,-0.5901546301215704,-1.3982518153539971,0.08183079056865465,1.0,4/15,9.65%,Rab18;Rtn3;Sec31a;Lman2
regulation of translational initiation (GO:0006446),GO_Biological_Process_2021,-0.5463938427645675,-1.3692963004915735,0.09630606860158311,1.0,9/19,21.72%,Eif4h;Eif4b;Polr2d;Eif5;Eif4g1;Tpr;Impact;Eif3e;Eif3h
glycosaminoglycan metabolic process (GO:0030203),GO_Biological_Process_2021,-0.5519799841135866,-1.3542659501894752,0.10238429172510519,1.0,5/16,17.49%,Glb1;Ext2;Ext1;Gpc4;Gns
negative regulation of peptidase activity (GO:0010466),GO_Biological_Process_2021,-0.5184860975778716,-1.3375995730671708,0.11451398135818908,1.0,10/21,30.13%,Serpine2;Lrp1;Serpinh1;Serpinc1;Serpini1;Timp1;Agt;Serping1;Serpinf1;Kng1
negative regulation of cell death (GO:0060548),GO_Biological_Process_2021,-0.5046012619779993,-1.2983824838879643,0.13227513227513227,1.0,7/21,16.41%,Chmp4b;Chmp2a;Txndc12;Nenf;Eif4g1;Psmc5;Impact
Aminoacyl-tRNA biosynthesis,KEGG_2019_Mouse,-0.539641869090217,-1.327569545559094,0.1335149863760218,1.0,7/16,25.95%,Rars;Tars;Iars;Cars;Vars;Kars;Gars
mRNA export from nucleus (GO:0006406),GO_Biological_Process_2021,-0.5130223280750487,-1.307284792148585,0.13368983957219252,1.0,10/20,36.58%,Polr2d;Alyref;Tpr;Eif4e;Pabpn1;Eif4a3;Nup37;Magoh;Sec13;Ddx39b
Citrate cycle (TCA cycle),KEGG_2019_Mouse,-0.5442763952719968,-1.327585779721105,0.13618157543391188,1.0,12/16,39.89%,Dlst;Mdh1;Pdhb;Dld;Cs;Idh3a;Aco2;Mdh2;Aco1;Idh1;Sdha;Sucla2
glycolipid metabolic process (GO:0006664),GO_Biological_Process_2021,-0.5393869957192166,-1.316086374534926,0.13642756680731363,1.0,5/15,8.93%,Glb1;Sumf2;Naga;Neu1;Sumf1
positive regulation of cytoskeleton organization (GO:0051495),GO_Biological_Process_2021,-0.5473228678613782,-1.3119365206081437,0.13774104683195593,1.0,5/15,18.73%,Nes;Cttn;Vasp;Dync1h1;Sema5a
regulation of proteasomal protein catabolic process (GO:0061136),GO_Biological_Process_2021,-0.4986050719941824,-1.2873884758985614,0.14868421052631578,1.0,8/22,19.61%,Psmc2;Prkaca;Tmtc3;Rad23a;Alad;Psmc3;Psmc5;Psmd14
transcription-coupled nucleotide-excision repair (GO:0006283),GO_Biological_Process_2021,-0.4943410942373729,-1.290687401567408,0.14882506527415143,1.0,11/23,25.08%,Cops2;Polr2d;Polr2e;Cops6;Cops5;Polr2i;Gps1;Cops8;Cops4;Rpa3;Usp7
COPII-coated vesicle budding (GO:0090114),GO_Biological_Process_2021,-0.47318466793879116,-1.2528019528498917,0.15620827770360482,1.0,13/25,33.44%,Napa;Sec31a;Trappc3;Sec23b;Sec23a;Mia3;Ppp6c;Rab1b;Uso1;Nsf;Trappc2l;Pdcd6;Sec13
axon guidance (GO:0007411),GO_Biological_Process_2021,-0.4319759750120721,-1.2514953305158147,0.15679012345679014,1.0,19/40,38.91%,Cyfip1;Efnb1;Sptbn1;Vasp;Sema6c;Slit3;Sema6d;Sema5a;Enah;Sema4b;Lypla2;Sptan1;Lama2;Grb2;Mapk1;Sema3e;Pdlim7;Ezr;Lama1
regulation of protein ubiquitination (GO:0031396),GO_Biological_Process_2021,-0.5044395794422369,-1.2655668332825651,0.17222963951935916,1.0,5/18,10.01%,Hsp90aa1;Nxn;Dnaja1;Dcun1d1;Vps28
Glutathione metabolism,KEGG_2019_Mouse,-0.44109583249157946,-1.2227723356585365,0.1773981603153745,1.0,5/32,13.83%,Gsta3;Sms;Gpx7;Txndc12;Pgd
organelle assembly (GO:0070925),GO_Biological_Process_2021,-0.4072635743870434,-1.2315761495611708,0.1836734693877551,1.0,19/48,30.03%,Pde6d;Chmp4b;Gabarapl1;Chmp2a;Vps28;Actr3;Arf4;Dync1h1;Cirbp;Nsfl1c;Lsm4;Tmod3;Eif2s1;Map1lc3b;Rab1b;Ddx6;Npm1;Gsn;Wdr90
negative regulation of endopeptidase activity (GO:0010951),GO_Biological_Process_2021,-0.4972615348587145,-1.2588067289284173,0.18453188602442333,1.0,9/19,30.13%,Serpine2;Serpinh1;Serpinc1;Serpini1;Timp1;Agt;Serping1;Serpinf1;Kng1
"transcription, DNA-templated (GO:0006351)",GO_Biological_Process_2021,-0.5059085018353059,-1.254306978994721,0.18538565629228687,1.0,8/19,15.53%,Gtf2a2;Cops2;Polr2d;Polr2e;Parp1;Wdr61;Polr2i;Supt16h
mRNA surveillance pathway,KEGG_2019_Mouse,-0.49441597501003876,-1.2445042803990187,0.18842530282637954,1.0,3/19,0.88%,Gspt1;Ppp2cb;Ppp1cb
cellular amino acid catabolic process (GO:0009063),GO_Biological_Process_2021,-0.47836752401696353,-1.2427862855531426,0.18863049095607234,1.0,14/24,32.87%,Crym;Echs1;Dlst;Ddah1;Dld;Blmh;Hykk;Bcat2;Abat;Hibch;Glud1;Fah;Hibadh;Got1
protein modification by small protein conjugation (GO:0032446),GO_Biological_Process_2021,-0.40261297626391457,-1.2100282544926335,0.1904176904176904,1.0,22/48,30.55%,Uba5;Nedd4l;Dcun1d1;Wdr61;Ufm1;Uba3;Tpr;Ube2e1;Ube2h;Ube2g1;Cdc34;Ube2n;Uba1;Sumo2;Usp9x;Usp7;Nup37;Ube2a;Cul1;Cand1;Ube2v2;Vcp
Purine metabolism,KEGG_2019_Mouse,-0.42225983988794125,-1.2053822510285446,0.20326223337515684,1.0,10/36,18.16%,Pde6d;Nt5c3b;Nudt9;Nme3;Entpd5;Gart;Adss;Nudt2;Itpa;Xdh
nucleotide-excision repair (GO:0006289),GO_Biological_Process_2021,-0.4608250371756184,-1.2287441191280535,0.2051948051948052,1.0,13/27,25.08%,Cops2;Polr2d;Polr2e;Parp1;Cops6;Rad23a;Cops5;Polr2i;Gps1;Cops8;Cops4;Rpa3;Usp7
glycosaminoglycan biosynthetic process (GO:0006024),GO_Biological_Process_2021,-0.46195551524459305,-1.2057768631265287,0.20639147802929428,1.0,4/21,9.34%,Cspg4;Ext2;Ext1;Gpc4
Arginine and proline metabolism,KEGG_2019_Mouse,-0.49673891166039,-1.2265997236994377,0.20871862615587847,1.0,3/18,3.77%,P4ha1;Sms;Sat2
Glucagon signaling pathway,KEGG_2019_Mouse,-0.48714996608230876,-1.2153081827087584,0.20930232558139536,1.0,4/17,14.50%,Ppp4c;Prkaca;Acaca;Pdhb
protein import (GO:0017038),GO_Biological_Process_2021,-0.4929132622613437,-1.2254001774094478,0.20952380952380953,1.0,10/18,33.59%,Hsp90aa1;Fis1;Tpr;Lamp2;Ipo4;Ipo5;Ipo7;Apoe;Sec13;Clu
protein targeting (GO:0006605),GO_Biological_Process_2021,-0.502906994975834,-1.2296578737317414,0.21156558533145275,1.0,7/16,21.62%,Naca;Timm8b;Cdc37;Srp14;Fis1;Lamp2;Pitrm1
Drug metabolism,KEGG_2019_Mouse,-0.4553331862232802,-1.2212135542596212,0.21243523316062177,1.0,7/26,22.19%,Gsta3;Nat2;Nme3;Itpa;Xdh;Adh5;Ces2c
translation (GO:0006412),GO_Biological_Process_2021,-0.3788488531658512,-1.1701031687269017,0.21666666666666667,1.0,21/62,26.06%,Gspt1;Rplp0;Rps2;Rps8;Rpl18;Apeh;Eif4g1;Rps17;Cops5;Rpl22;Etf1;Ppa1;Rps20;Rps11;Rps14;Rps13;Rpl5;Rps19;Rps16;Rpsa;Rps26
DNA metabolic process (GO:0006259),GO_Biological_Process_2021,-0.4381209170105757,-1.2037074051174197,0.21693121693121692,1.0,15/29,31.32%,Asf1a;Hmgb2;Parp1;Hmgb1;Ptges3;Cdc34;Ube2n;Rpa3;Usp7;Ube2a;Npm1;Ube2v2;Vcp;Apex1;Pura
nuclear-transcribed mRNA catabolic process (GO:0000956),GO_Biological_Process_2021,-0.3791351436297696,-1.1677847502462146,0.21948356807511737,1.0,23/62,26.06%,Gspt1;Rplp0;Thrap3;Polr2d;Rps2;Rps8;Rpl18;Mrto4;Eif4g1;Rps17;Rpl22;Etf1;Eif3e;Rps20;Rps11;Rps14;Rps13;Rpl5;Rps19;Eif4a3;Rps16;Rpsa;Rps26
regulation of cell cycle G2/M phase transition (GO:1902749),GO_Biological_Process_2021,-0.4897883655544826,-1.2101898460565892,0.22312925170068026,1.0,8/17,23.12%,Tuba1a;Hsp90aa1;Atad5;Prkaca;Dync1h1;Ywhag;Pafah1b1;Dctn2
ribonucleoprotein complex assembly (GO:0022618),GO_Biological_Process_2021,-0.39931772345613126,-1.1742972916682024,0.2243436754176611,1.0,18/45,24.92%,Eif3a;Eif4h;Hsp90aa1;Rplp0;Eif4b;Polr2d;Eif5;Ptges3;Snrpb;Snrnp200;Snrpd3;Snrpd2;Strap;Rps14;Lsm4;Rpl5;Rps19;Rpsa
mRNA stabilization (GO:0048255),GO_Biological_Process_2021,-0.5065050217408986,-1.2031874289740883,0.2291950886766712,1.0,8/15,25.49%,Ybx3;Thrap3;Ybx1;Syncrip;Cirbp;Hnrnpu;Fus;Mapk14
Lysosome,KEGG_2019_Mouse,-0.38211190774472387,-1.1626038474893376,0.22974607013301088,1.0,13/50,19.30%,Sort1;Glb1;Naga;Neu1;Pla2g15;Sumf1;Ap1s2;Ap1m1;Lamp1;Gns;Lamp2;Ctso;Arsb
"vesicle targeting, rough ER to cis-Golgi (GO:0048207)",GO_Biological_Process_2021,-0.4676717960551725,-1.1986890701461979,0.23097826086956522,1.0,12/22,36.84%,Napa;Sec31a;Trappc3;Sec23a;Ppp6c;Rab1b;Uso1;Nsf;Trappc2l;Pdcd6;Sec13;Mcfd2
COPII vesicle coating (GO:0048208),GO_Biological_Process_2021,-0.4676717960551725,-1.1986890701461979,0.23097826086956522,1.0,12/22,36.84%,Napa;Sec31a;Trappc3;Sec23a;Ppp6c;Rab1b;Uso1;Nsf;Trappc2l;Pdcd6;Sec13;Mcfd2
vesicle coating (GO:0006901),GO_Biological_Process_2021,-0.4676717960551725,-1.1986890701461979,0.23097826086956522,1.0,12/22,36.84%,Napa;Sec31a;Trappc3;Sec23a;Ppp6c;Rab1b;Uso1;Nsf;Trappc2l;Pdcd6;Sec13;Mcfd2
positive regulation of protein kinase activity (GO:0045860),GO_Biological_Process_2021,-0.4681943951830917,-1.1982132721014205,0.2350597609561753,1.0,6/23,13.26%,Hsp90aa1;Gas6;Lrp8;Cab39;Iqgap1;Syap1
regulation of endopeptidase activity (GO:0052548),GO_Biological_Process_2021,-0.46364045930521103,-1.2124771504038068,0.2369109947643979,1.0,10/23,30.13%,Serpine2;Ncstn;Serpinh1;Serpinc1;Serpini1;Timp1;Agt;Serping1;Serpinf1;Kng1
cellular component assembly (GO:0022607),GO_Biological_Process_2021,-0.3866081866554669,-1.16028030591188,0.23902439024390243,1.0,7/47,9.86%,Aif1l;Cyfip1;Gas6;St13;Rtn3;Sptbn1;Vasp
small GTPase mediated signal transduction (GO:0007264),GO_Biological_Process_2021,-0.4789488103231583,-1.1985040154747664,0.2480719794344473,1.0,3/20,5.52%,Rab18;Gnb1;Arhgap1
positive regulation of proteasomal protein catabolic process (GO:1901800),GO_Biological_Process_2021,-0.4682850705967115,-1.1631253464157538,0.25546448087431695,1.0,9/18,33.59%,Psmc2;Tmtc3;Rad23a;Psmc3;Psmc5;Sumo2;Vcp;Fbxo22;Clu
Pyrimidine metabolism,KEGG_2019_Mouse,-0.49692772172218597,-1.191704170056744,0.2601398601398601,1.0,5/15,16.46%,Nt5c3b;Nme3;Entpd5;Cad;Nudt2
epithelial cell differentiation (GO:0030855),GO_Biological_Process_2021,-0.4645174971277221,-1.180197208007659,0.2609254498714653,1.0,7/20,28.33%,Cnn3;Lgals3;Aldoc;Pgk1;Fstl1;Jag1;Edf1
peptide biosynthetic process (GO:0043043),GO_Biological_Process_2021,-0.38503054521599356,-1.1541686282450807,0.26277372262773724,1.0,18/51,26.06%,Gspt1;Rplp0;Rps2;Rps8;Rpl18;Eif4g1;Rps17;Cops5;Rpl22;Rps20;Rps11;Rps14;Rps13;Rpl5;Rps19;Rps16;Rpsa;Rps26
positive regulation of viral process (GO:0048524),GO_Biological_Process_2021,-0.46864599148088526,-1.1627738347196743,0.2645861601085482,1.0,4/17,14.65%,Polr2d;Polr2e;Rad23a;Polr2i
cellular protein-containing complex assembly (GO:0034622),GO_Biological_Process_2021,-0.3976958815357128,-1.1510624059785606,0.2657601977750309,1.0,8/42,10.73%,Chmp4b;Eif4h;Hsp90aa1;Ap2m1;Eif4b;Chmp2a;Ptges3l;Ptges3
membrane organization (GO:0061024),GO_Biological_Process_2021,-0.38165597816201646,-1.1479584553130437,0.2660996354799514,1.0,14/45,24.30%,Chmp4b;Ap2m1;Napa;Chmp2a;Cttn;Sptbn1;Rabif;Trip10;Actr3;Arpc5;Arpc2;Nsfl1c;Arpc1a;Lrp2
response to endoplasmic reticulum stress (GO:0034976),GO_Biological_Process_2021,-0.4555362889460513,-1.1727139233775588,0.2661290322580645,1.0,10/20,30.55%,Uba5;Pdia4;Tmtc3;Ufm1;Mbtps1;Dnajc10;Eif2s1;Hspa5;Hyou1;Vcp
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427),GO_Biological_Process_2021,-0.46975238353472437,-1.1679092369568276,0.26783310901749663,1.0,8/18,36.58%,Alyref;Tpr;Eif4e;Eif4a3;Nup37;Magoh;Sec13;Ddx39b
mRNA transport (GO:0051028),GO_Biological_Process_2021,-0.46975238353472437,-1.1679092369568276,0.26783310901749663,1.0,8/18,36.58%,Alyref;Tpr;Eif4e;Eif4a3;Nup37;Magoh;Sec13;Ddx39b
ciliary basal body-plasma membrane docking (GO:0097711),GO_Biological_Process_2021,-0.48905866563959277,-1.1777736435372685,0.2691790040376851,1.0,7/15,23.12%,Tuba1a;Hsp90aa1;Prkaca;Dync1h1;Ywhag;Pafah1b1;Dctn2
synapse organization (GO:0050808),GO_Biological_Process_2021,-0.49930540581331806,-1.1818142272818144,0.273371104815864,1.0,2/15,9.34%,Cyfip1;Gpc4
Pertussis,KEGG_2019_Mouse,-0.4837617040767713,-1.159282382938774,0.27393617021276595,1.0,7/16,35.35%,C4b;Casp3;Irf3;Mapk14;Serping1;Mapk1;C2
Fluid shear stress and atherosclerosis,KEGG_2019_Mouse,-0.4012228129581292,-1.1436815304119363,0.2744360902255639,1.0,2/35,2.22%,Gsta3;Hsp90aa1
DNA repair (GO:0006281),GO_Biological_Process_2021,-0.44075042918469554,-1.1535523277543331,0.27925531914893614,1.0,13/24,31.11%,Asf1a;Babam1;Parp1;Usp47;Rad23a;Ube2v1;Ube2n;Rpa3;Ube2a;Npm1;Ube2v2;Vcp;Apex1
regulation of peptidyl-serine phosphorylation (GO:0033135),GO_Biological_Process_2021,-0.4765000063534687,-1.1524963980028582,0.2835820895522388,1.0,5/17,18.83%,Hsp90aa1;Gas6;Gpd1l;Eif4g1;Mif
Metabolism of xenobiotics by cytochrome P450,KEGG_2019_Mouse,-0.47486132518826807,-1.1442084794334693,0.2857142857142857,1.0,3/16,19.40%,Gsta3;Dhdh;Adh5
'de novo' posttranslational protein folding (GO:0051084),GO_Biological_Process_2021,-0.47970877315570337,-1.1517417664548906,0.2896174863387978,1.0,4/16,18.78%,St13;Entpd5;Ptges3;Sdf2
regulation of neuron death (GO:1901214),GO_Biological_Process_2021,-0.44515885496467905,-1.132359967388034,0.2897196261682243,1.0,4/19,13.21%,Chmp4b;Lancl1;Nenf;Eif4g1
protein-DNA complex assembly (GO:0065004),GO_Biological_Process_2021,-0.36401653240505505,-1.1241248652216722,0.2918108419838524,1.0,18/56,29.31%,Asf1a;Hmgb2;Psmc2;Psmd9;Nap1l4;Parp1;Anp32b;Psmd12;Psmc3;Psmc5;Psmd14;Psmd7;Psma4;Rpa3;Psmc4;Psmc1;Npm1;Psmf1
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),GO_Biological_Process_2021,-0.3470955463753632,-1.1113226944151675,0.293241695303551,1.0,19/76,22.29%,Cyfip1;Sort1;Hsp90aa1;Ap2m1;Efnb1;Atp6v1c1;Polr2d;Polr2e;Casp3;Ncstn;Hnrnpf;Actr3;Polr2i;Arpc5;Arpc2;Mvp;Ddr1;Hnrnph1;Arpc1a
RNA metabolic process (GO:0016070),GO_Biological_Process_2021,-0.41047204125750403,-1.1315027316085031,0.3041301627033792,1.0,16/31,32.04%,Rbm3;Polr2d;Polr2e;Syncrip;Hnrnpf;Polr2i;Hnrnpk;Pabpn1;Hnrnpu;Hnrnpl;Hnrnph1;Rnase4;Pcbp2;Pcbp1;Polr2h;Polr2g
RNA transport (GO:0050658),GO_Biological_Process_2021,-0.45721926684327485,-1.140579159440747,0.31351351351351353,1.0,6/18,30.29%,Ybx1;Alyref;Tpr;Eif4e;Eif4a3;Magoh
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888),GO_Biological_Process_2021,-0.3674956981190662,-1.1002963744346117,0.3150851581508516,1.0,29/50,38.75%,Gas6;Napa;Sptbn1;Sec31a;Lman2;Cope;Arf4;Dync1h1;Trappc3;Sec23a;Dctn2;Mia3;Rab1b;Sptan1;Copz2;Uso1;Nsf;Hyou1;Capza2;Trappc2l;Pdcd6;Sec13;Capza1;Copg2;Pros1;Capzb;Mcfd2;Copg1;Arcn1
protein homooligomerization (GO:0051260),GO_Biological_Process_2021,-0.42465629453886744,-1.1245322502662543,0.31666666666666665,1.0,12/24,36.89%,Chmp2a;Alad;Acaca;Clybl;Mif;Cryz;Fus;Ssbp1;Aldh1a2;Aldoa;Apip;Sod2
ephrin receptor signaling pathway (GO:0048013),GO_Biological_Process_2021,-0.41711151897001264,-1.115585355106624,0.324254215304799,1.0,7/25,22.29%,Ap2m1;Efnb1;Ncstn;Actr3;Arpc5;Arpc2;Arpc1a
regulation of tumor necrosis factor production (GO:0032680),GO_Biological_Process_2021,-0.4319052984895543,-1.110612073708663,0.32663989290495316,1.0,4/21,18.83%,Gas6;Hmgb1;Lgals9;Mif
Cysteine and methionine metabolism,KEGG_2019_Mouse,-0.4268076395577506,-1.098719132145083,0.330188679245283,1.0,16/22,44.07%,Sms;Ahcy;Mdh1;Mri1;Bcat2;Mtap;Mat2a;Mdh2;Got1;Srm;Ldha;Apip;Got2;Ldhb;Gclc;Mtr
regulation of cell death (GO:0010941),GO_Biological_Process_2021,-0.4430466853877493,-1.1262507278756997,0.332892998678996,1.0,6/19,16.41%,Chmp4b;Chmp2a;Txndc12;Eif4g1;Lrp1;Impact
transcription by RNA polymerase II (GO:0006366),GO_Biological_Process_2021,-0.40471519497031955,-1.101650083505588,0.3371647509578544,1.0,10/28,17.03%,Gtf2a2;Cops2;Polr2d;Polr2e;Parp1;Wdr61;Snrpb;Polr2i;Supt16h;Snrpd3
negative regulation of protein phosphorylation (GO:0001933),GO_Biological_Process_2021,-0.43525678011999214,-1.1100164589734833,0.34054054054054056,1.0,8/20,24.25%,Fbln1;Gpd1l;Eif4g1;Impact;Xdh;Ywhag;Mvp;Dnajc10
regulation of response to external stimulus (GO:0032101),GO_Biological_Process_2021,-0.44850163673725096,-1.094759294256665,0.3449197860962567,1.0,3/16,9.96%,Lrp8;Metap1;Fnta
double-strand break repair (GO:0006302),GO_Biological_Process_2021,-0.46895493486498496,-1.1082674646852824,0.34858681022880217,1.0,10/15,30.55%,Babam1;Hmgb2;Parp1;Hmgb1;Psmd14;Ube2n;Rpa3;Ube2v2;Sfpq;Vcp
protein targeting to ER (GO:0045047),GO_Biological_Process_2021,-0.36021497899784966,-1.0721065899009135,0.3524390243902439,1.0,17/49,26.06%,Chmp4b;Rplp0;Rps2;Rps8;Rpl18;Srp14;Rps17;Rpl22;Rps20;Rps11;Rps14;Rps13;Rpl5;Rps19;Rps16;Rpsa;Rps26
Systemic lupus erythematosus,KEGG_2019_Mouse,-0.4525918982000796,-1.098535857061742,0.3548812664907652,1.0,2/16,2.68%,Hist1h2bc;C4b
rRNA metabolic process (GO:0016072),GO_Biological_Process_2021,-0.38622951957641966,-1.0930336445180868,0.3583743842364532,1.0,12/34,25.18%,Rplp0;Wdr12;Rps2;Rpl18;Mrto4;Rps17;Rpl22;Rps14;Rpl5;Rps19;Rps16;Exosc2
RNA export from nucleus (GO:0006405),GO_Biological_Process_2021,-0.43601352096146967,-1.100387799248971,0.3620457604306864,1.0,8/19,36.58%,Alyref;Tpr;Eif4e;Eif4a3;Nup37;Magoh;Sec13;Ddx39b
plasma membrane bounded cell projection assembly (GO:0120031),GO_Biological_Process_2021,-0.3852750275636607,-1.067702758891532,0.3644388398486759,1.0,3/29,1.86%,Pde6d;Aif1l;Cyfip1
neutrophil activation involved in immune response (GO:0002283),GO_Biological_Process_2021,-0.3068912784431389,-1.0608184461202965,0.36628511966701355,1.0,35/181,19.61%,Pdap1;Rab18;Cyfip1;Dera;Hsp90aa1;Glb1;Psmc2;Neu1;Pa2g4;Lgals3;Nit2;Hmgb1;Psmd12;Apeh;Hebp2;Srp14;Aldoc;Fuca2;Alad;Ap1m1;Ncstn;Dsp;Psmc3;Cab39;Iqgap1;Lamp1;Mlec;Arpc5;Dync1h1;Gns;Lamp2;Mif;Arsb;Mvp;Psmd14
neutrophil degranulation (GO:0043312),GO_Biological_Process_2021,-0.3068912784431389,-1.0608184461202965,0.36628511966701355,1.0,35/181,19.61%,Pdap1;Rab18;Cyfip1;Dera;Hsp90aa1;Glb1;Psmc2;Neu1;Pa2g4;Lgals3;Nit2;Hmgb1;Psmd12;Apeh;Hebp2;Srp14;Aldoc;Fuca2;Alad;Ap1m1;Ncstn;Dsp;Psmc3;Cab39;Iqgap1;Lamp1;Mlec;Arpc5;Dync1h1;Gns;Lamp2;Mif;Arsb;Mvp;Psmd14
nucleic acid metabolic process (GO:0090304),GO_Biological_Process_2021,-0.42431400057540836,-1.0783857124838432,0.36666666666666664,1.0,12/20,32.04%,Polr2d;Polr2e;Hnrnpf;Polr2i;Hnrnpk;Hnrnpu;Hnrnpl;Hnrnph1;Pcbp2;Pcbp1;Polr2h;Polr2g
HIF-1 signaling pathway,KEGG_2019_Mouse,-0.42485226248517877,-1.0792403929397092,0.3695364238410596,1.0,10/20,37.82%,Eno3;Pdhb;Eif4e;Pgk1;Timp1;Eno1;Aldoa;Mapk1;Ldha;Igf1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",GO_Biological_Process_2021,-0.3510879595489353,-1.0638733083244545,0.3724304715840387,1.0,20/55,26.06%,Gspt1;Rplp0;Rps2;Rps8;Rpl18;Eif4g1;Rps17;Rpl22;Etf1;Eif3e;Rps20;Rps11;Rps14;Rps13;Rpl5;Rps19;Eif4a3;Rps16;Rpsa;Rps26
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731),GO_Biological_Process_2021,-0.4096110863041019,-1.0773332931375492,0.37581274382314694,1.0,3/22,4.80%,Gas6;Cspg4;Lrp8
