term,source,es,nes,nom_p_value,fdr_q_value,tag_pct,gene_pct,lead_genes
collagen fibril organization (GO:0030199),GO_Biological_Process_2021,0.29479319070019894,1.0255371054797842,0.3979591836734694,0.7459317251267203,3/38,2.01%,Col16a1;Col12a1;Col18a1
protein localization to membrane (GO:0072657),GO_Biological_Process_2021,0.33009611334781297,1.0129613252460234,0.42338709677419356,0.7521659541502883,6/21,10.89%,Bid;Ap3d1;Ehd1;Lin7c;Rock2;S100a10
apoptotic process (GO:0006915),GO_Biological_Process_2021,0.3082171305361424,1.0153078117837844,0.41702127659574467,0.7526816475350318,3/25,5.73%,Ppp2ca;Bid;Bax
Protein digestion and absorption,KEGG_2019_Mouse,0.3651836447727656,1.0163005465461998,0.4251012145748988,0.757117758664059,3/17,7.17%,Col12a1;Col18a1;Prcp
Ras protein signal transduction (GO:0007265),GO_Biological_Process_2021,0.3177023772309072,1.0071021284014974,0.4482758620689655,0.7631152728251107,3/26,2.79%,Rap1b;Brk1;Arhgdib
negative regulation of cellular process (GO:0048523),GO_Biological_Process_2021,0.24726246923159306,1.0166156824929802,0.4107142857142857,0.7637245056689074,8/84,2.79%,Cryab;Ppp2ca;Cxcl1;Tgfb3;Col18a1;Tgfb1;Piwil2;Arhgdib
positive regulation of multicellular organismal process (GO:0051240),GO_Biological_Process_2021,0.26063732052901256,0.9918552957701701,0.45555555555555555,0.7709714132690635,13/51,15.02%,Tgfb3;Tgfb1;Ybx2;Mfap2;Sod1;S100a13;Fga;Ppib;Lrpap1;Fgb;Tgfb2;C1qbp;Fabp4
Hepatitis C,KEGG_2019_Mouse,0.29666815025083954,0.9933078155894337,0.4622222222222222,0.7742241048768463,8/28,11.04%,Ppp2ca;Bid;Bax;Ywhae;Cyct;Ywhah;Stat1;Psme3
supramolecular fiber organization (GO:0097435),GO_Biological_Process_2021,0.24273799833528092,0.9936363158640625,0.45132743362831856,0.7804680575849762,6/84,2.22%,Col16a1;Col12a1;Itm2b;Fbln5;Col18a1;Efemp2
negative regulation of blood vessel morphogenesis (GO:2000181),GO_Biological_Process_2021,0.34524618515847844,0.9937432206748448,0.4349442379182156,0.7873505761234221,5/17,18.27%,Sulf1;Rock2;Stat1;Tgfb2;Adamts1
