sample,PC1,PC2,PC3
control_1,-25.38429125423875,-29.19261837615214,-12.524248110855728
control_2,30.794314877303442,-15.122339186892876,20.997617372975785
treated_1,-26.149077818793,25.473443022703634,16.82295081090125
treated_2,20.739054195728368,18.841514540341347,-25.296320073021338
