accession,gene,detected_in,Intensity 31578,Intensity 31580,Intensity 31579,Intensity 31581
Q8VEF1;Q80TI0,Gramd1a;Gramd1b,control_only,,,214580000.0,23140000.0
Q8VI63,Mob2,treated_only,12714000.0,23764000.0,,
Q8WTY4,Ciapin1,treated_only,103070000.0,43232000.0,,
Q91VC7,Ppp1r14a,treated_only,22000000.0,0.0,,
Q91VR2,Atp5c1,control_only,,,14828000.0,11012000.0
Q91VR7,Map1lc3a,treated_only,43110000.0,8034400.0,,
Q91WM1,Strbp,control_only,,,0.0,0.0
Q91WN1,Dnajc9,control_only,,,8887700.0,0.0
Q91X91,Qprt,treated_only,0.0,12813000.0,,
Q91YD9,Wasl,treated_only,0.0,7055900.0,,
Q91YE7,Rbm5,control_only,,,18185000.0,0.0
Q91YS8;Q8BW96,Camk1;Camk1d,control_only,,,32926000.0,109290000.0
Q91YW3,Dnajc3,treated_only,93185000.0,219280000.0,,
Q91ZR2,Snx18,treated_only,14832000.0,0.0,,
Q91ZW3;Q6PGB8,Smarca5;Smarca1,treated_only,56843000.0,52747000.0,,
Q920R0,Als2,control_only,,,24419000.0,13935000.0
Q921C5,Bicd2,treated_only,469520000.0,196470000.0,,
Q921E2;P35285,Rab31;Rab22a,treated_only,7626000.0,0.0,,
Q921F4,Hnrnpll,control_only,,,18971000.0,103920000.0
Q921J4,Ube2s,treated_only,15480000.0,0.0,,
Q921M4,Golga2,control_only,,,0.0,7453600.0
Q921W0,Chmp1a,control_only,,,49103000.0,0.0
Q921W4,Cryzl1,treated_only,155240000.0,14798000.0,,
Q921Y0,Mob1a,treated_only,323620000.0,141820000.0,,
Q922F4,Tubb6,control_only,,,128470000.0,4900300.0
Q922Y1,Ubxn1,treated_only,64784000.0,19546000.0,,
Q99JP6;Q9QWW1;Q9Z2Y3,Homer3;Homer2;Homer1,treated_only,6004600.0,3687800.0,,
Q99KN9,Clint1,treated_only,2674700.0,4899100.0,,
Q99KW3,Triobp,treated_only,0.0,3943100.0,,
Q99L20,Gstt3,control_only,,,7283600.0,0.0
Q99LB2,Dhrs4,control_only,,,0.0,13968000.0
Q99LB6,Mat2b,treated_only,125190000.0,75566000.0,,
Q99LC5,Etfa,control_only,,,625040000.0,53559000.0
Q99LD9,Eif2b2,treated_only,11513000.0,0.0,,
Q99LF4,Rtcb,control_only,,,2436600.0,0.0
Q99M51,Nck1,control_only,,,0.0,0.0
Q99MN9,Pccb,treated_only,20344000.0,0.0,,
Q99MV1,Tdrd1,control_only,,,15143000.0,95071000.0
Q99MW1;O35136,Stk31;Ncam2,treated_only,8533900.0,0.0,,
Q99MZ7,Pecr,treated_only,16605000.0,9552700.0,,
Q99PU5,Acsbg1,treated_only,44244000.0,19826000.0,,
Q99PV0,Prpf8,treated_only,4934400.0,11309000.0,,
Q9CPR1,Rwdd4,treated_only,17959000.0,13356000.0,,
Q9CPR4,Rpl17,treated_only,33771000.0,26636000.0,,
Q9CPW2,Fdx1l,treated_only,0.0,0.0,,
Q9CPZ8,Cmc1,treated_only,0.0,4801000.0,,
Q9CQ02,Commd4,treated_only,14146000.0,6063200.0,,
Q9CQ18,Rnaseh2c,treated_only,12050000.0,0.0,,
Q9CQ48,Nudcd2,control_only,,,0.0,15674000.0
Q9CQ49,Ncbp2,treated_only,6291200.0,0.0,,
Q9CQ75,Ndufa2,treated_only,3957900.0,0.0,,
Q9CQD1,Rab5a,treated_only,0.0,13768000.0,,
Q9CQD4;Q99LU0,Chmp1b2;Chmp1b1,treated_only,0.0,41085000.0,,
Q9CQF4,,control_only,,,0.0,24894000.0
Q9CQF6,Aasdhppt,control_only,,,11306000.0,0.0
Q9CQH7,Btf3l4,treated_only,86133000.0,12659000.0,,
Q9CQK7,Rwdd1,treated_only,1340800000.0,0.0,,
Q9CQL0,Mettl21A,treated_only,32728000.0,18160000.0,,
Q9CQL7,Mrfap1,control_only,,,0.0,9701500.0
Q9CQW2,Arl8b,control_only,,,8377400.0,9860400.0
Q9CQX2,Cyb5b,treated_only,13127000.0,0.0,,
Q9CR21,Ndufab1,control_only,,,49373000.0,0.0
Q9CRB3,Urah,control_only,,,0.0,18353000.0
Q9CRC3,,treated_only,4551500.0,0.0,,
Q9CRC6,,control_only,,,0.0,3008900.0
Q9CRW3,,treated_only,9010700.0,0.0,,
Q9CSH3,Dis3,treated_only,13644000.0,0.0,,
Q9CSU0,Rprd1b,treated_only,13133000.0,31829000.0,,
Q9CU62,Smc1a,control_only,,,28675000.0,25160000.0
Q9CUN6,Smurf1,treated_only,31415000.0,0.0,,
Q9CW03,Smc3,treated_only,0.0,9856600.0,,
Q9CWG9,Bloc1s2,treated_only,3234300.0,10186000.0,,
Q9CWI3,Bccip,control_only,,,0.0,9866600.0
Q9CWK8,Snx2,control_only,,,21494000.0,12310000.0
Q9CXG3,Ppil4,control_only,,,8227400.0,31591000.0
Q9CXL3,,treated_only,0.0,3010200.0,,
Q9CXZ1,Ndufs4,control_only,,,0.0,6923700.0
Q9CYI4;Q7TNC4,Luc7l;Luc7l2,treated_only,32272000.0,15591000.0,,
Q9CYL5,Glipr2,control_only,,,0.0,5795900.0
Q9CZ13,Uqcrc1,treated_only,66964000.0,0.0,,
Q9CZ42,Carkd,treated_only,12558000.0,0.0,,
Q9CZH3,Psmg3,treated_only,3480600.0,0.0,,
Q9D0B0,Srsf9,control_only,,,4535800.0,10440000.0
Q9D0D5,Gtf2e1,treated_only,62003000.0,0.0,,
Q9D0M0,Exosc7,treated_only,73649000.0,52300000.0,,
Q9D0R8,Lsm12,control_only,,,34013000.0,0.0
Q9D0S9,Hint2,treated_only,8003600.0,43726000.0,,
Q9D1D6,Cthrc1,treated_only,0.0,21060000.0,,
Q9D1G0,Dnase1l2,treated_only,2648400.0,1702600.0,,
Q9D1H7,Get4,treated_only,17267000.0,0.0,,
Q9D1H9,Mfap4,control_only,,,170270000.0,32678000.0
Q9D1M4,Eef1e1,control_only,,,69648000.0,32106000.0
Q9D269,Cst11,control_only,,,0.0,35119000.0
Q9D572,Ubxn11,control_only,,,17271000.0,156110000.0
Q9D6K5,Synj2bp,treated_only,3748800.0,0.0,,
Q9D6N5,Drap1,treated_only,13638000.0,0.0,,
Q9D6S7,Mrrf,treated_only,36260000.0,28783000.0,,
Q9D6V8,Paip2,treated_only,18619000.0,0.0,,
Q9D7P6,Iscu,treated_only,14492000.0,0.0,,
Q9D7S9,Chmp5,treated_only,50272000.0,9426700.0,,
Q9D853,Mettl10,treated_only,24807000.0,0.0,,
Q9D8B7,Jam3,treated_only,60571000.0,18332000.0,,
Q9D8T2,Gsdmdc1,control_only,,,0.0,58815000.0
Q9D8T3,Rhebl1,treated_only,83415000.0,0.0,,
Q9D9V3,Echdc1,treated_only,46078000.0,0.0,,
Q9DAD6,Pfn3,control_only,,,14740000.0,0.0
Q9DB15,Mrpl12,treated_only,5587700.0,0.0,,
Q9DB26,Phyhd1,treated_only,0.0,15730000.0,,
Q9DBE0,Csad,control_only,,,39173000.0,0.0
Q9DBW3,Natd1,control_only,,,0.0,2914500.0
Q9DCG9,Trmt112,control_only,,,67597000.0,120430000.0
Q9DCJ1,Mlst8,treated_only,25937000.0,0.0,,
Q9DCT1,Akr1e2,treated_only,14942000.0,0.0,,
Q9DCU9,Hoga1,control_only,,,0.0,15537000.0
Q9DCW4,Etfb,control_only,,,7075500.0,0.0
Q9ESE1,Lrba,control_only,,,3079900.0,0.0
Q9ESH5,Wfdc1,treated_only,11071000.0,0.0,,
Q9ESX5,Dkc1,control_only,,,0.0,0.0
Q9JHJ8,Icoslg,treated_only,91080000.0,84422000.0,,
Q9JHK4,Rabggta,control_only,,,67893000.0,90788000.0
Q9JIX0,Eny2,control_only,,,2343200.0,245950.0
Q9JJI8,Rpl38,treated_only,8051900.0,10194000.0,,
Q9JK38,Gnpnat1,control_only,,,4634500.0,0.0
Q9JK39,Btnl10,control_only,,,181010000.0,0.0
Q9JKP7,Pole3,treated_only,39554000.0,0.0,,
Q9JKX4,Aatf,control_only,,,139020000.0,29623000.0
Q9JL62,Gltp,control_only,,,18346000.0,0.0
Q9JLA2,Il36a,treated_only,0.0,5326300.0,,
Q9JLF6,Tgm1,treated_only,6385000.0,0.0,,
Q9JLL0,Crim1,control_only,,,18596000.0,26566000.0
Q9JLQ2;Q68FF6,Git2;Git1,treated_only,4348800.0,76891000.0,,
Q9JLV1,Bag3,treated_only,11619000.0,20798000.0,,
Q9JLZ3,Auh,treated_only,7131500.0,15484000.0,,
Q9JM14,Nt5c,control_only,,,0.0,192880000.0
Q9JMB0,Gkap1,treated_only,0.0,11555000.0,,
Q9QUR7,Pin1,control_only,,,6166300.0,6703400.0
Q9QWI6,Srcin1,treated_only,109750000.0,100370000.0,,
Q9QWZ1,Rad1,treated_only,18067000.0,0.0,,
Q9QY36,Naa10,treated_only,8536800.0,9958700.0,,
Q9QY76,Vapb,control_only,,,76059000.0,63700000.0
Q9QYC0,Add1,treated_only,10828000.0,107240000.0,,
Q9QYF9,Ndrg3,treated_only,23880000.0,0.0,,
Q9QYI3,Dnajc7,treated_only,13050000.0,2037600.0,,
Q9QYS9,Qki,control_only,,,0.0,3395300.0
Q9QZM9,Fbxo16,control_only,,,124370000.0,24011000.0
Q9QZN4,Fbxo6,control_only,,,23421000.0,0.0
Q9QZQ1,Mllt4,control_only,,,0.0,8890900.0
Q9QZU9,Ube2l6,treated_only,13112000.0,14253000.0,,
Q9QZV9;Q3UNA4,Nxt1;Nxt2,treated_only,88515000.0,28602000.0,,
Q9R013,Ctsf,treated_only,88269000.0,67971000.0,,
Q9R045,Angptl2,treated_only,0.0,57191000.0,,
Q9R097,Spint1,treated_only,0.0,28106000.0,,
Q9R0H0,Acox1,treated_only,88061000.0,29174000.0,,
Q9R0M0,Celsr2,treated_only,0.0,34762000.0,,
Q9R0M5,Tpk1,treated_only,32468000.0,19457000.0,,
Q9R0Q4,Morf4l2,control_only,,,0.0,0.0
Q9R0U0,Srsf10,treated_only,3854500.0,0.0,,
Q9R100,Cdh17,treated_only,0.0,11935000.0,,
Q9WTU6,Mapk9,treated_only,141810000.0,122260000.0,,
Q9WTU6;Q61831,Mapk9;Mapk10,control_only,,,95062000.0,63200000.0
Q9WTZ1,Rnf7,treated_only,13107000.0,18061000.0,,
Q9WUB4,Dctn6,treated_only,13977000.0,0.0,,
Q9WUD1,Stub1,control_only,,,1768300.0,0.0
Q9WUM5,Suclg1,treated_only,18341000.0,21930000.0,,
Q9WUZ7,Sh3bgr,treated_only,0.0,0.0,,
Q9WV02,Rbmx,control_only,,,12235000.0,10390000.0
Q9WV84,Nme4,treated_only,5311700.0,2871700.0,,
Q9WV91,Ptgfrn,control_only,,,4881400.0,36254000.0
Q9WVB0;Q8VC52,Rbpms;Rbpms2,treated_only,2682700.0,4595100.0,,
Q9WVL0,Gstz1,treated_only,24770000.0,0.0,,
Q9Z0N2,Eif2s3y,control_only,,,24281000.0,19206000.0
Q9Z100,Cpxm1,treated_only,13566000.0,83346000.0,,
Q9Z108,Stau1,control_only,,,2367000.0,6627200.0
Q9Z1M4;Q8BSK8,Rps6kb2;Rps6kb1,treated_only,22282000.0,36588000.0,,
Q9Z1N6,Sfrp4,control_only,,,57226000.0,0.0
Q9Z1P8,Angptl4,treated_only,29835000.0,85799000.0,,
Q9Z224,Mocs2,control_only,,,27616000.0,14623000.0
Q9Z2D6,Mecp2,treated_only,24644000.0,11574000.0,,
Q9Z2I8,Suclg2,treated_only,83010000.0,0.0,,
Q9Z2L7,Crlf3,control_only,,,62847000.0,0.0
Q9Z2M7,Pmm2,treated_only,34600000.0,65659000.0,,
