UniProt Accession Number,Gene names,log2FC,regulated
Q99K48,Nono,-0.9472111262989922,DOWN
P34884,Mif,0.9836730469706714,UP
Q9CQ62,Decr1,1.1166956100304086,UP
Q60865,Caprin1,1.5759562379797265,UP
Q99KP6,Prpf19,-1.0934486838512232,DOWN
P62852,Rps25,1.60228958721022,UP
P11103,Parp1,1.4310570014771697,UP
Q3UPL0,Sec31a,2.071014998174164,UP
P56959,Fus,0.895463650304492,UP
P61458,Pcbd1,1.6327777390744558,UP
Q9D2G2,Dlst,1.0507665802062942,UP
Q3UFY7,Nt5c3b,2.226353334084065,UP
Q5M8N0,Cnrip1,1.571786784617352,UP
P61971,Nutf2,-0.8617649448367086,DOWN
Q61599,Arhgdib,-1.624998986680145,DOWN
P57784,Snrpa1,0.8773785427005384,UP
P62315,Snrpd1,0.9865948704510032,UP
Q8CCS6,Pabpn1,0.6653726199300626,UP
P43275,Hist1h1a,0.8283286765333906,UP
Q9D3D9,Atp5d,0.7881840927065521,UP
P09602,Hmgn2,0.6076925221637215,UP
P07758;Q00896;Q00897;P22599,Serpina1a;Serpina1c;Serpina1d;Serpina1b,-0.9833129504947595,DOWN
Q4KML4,Abracl,-1.4623191071515254,DOWN
Q61142,Spin1,-1.1429774081149324,DOWN
Q80UW8,Polr2e,1.2193037131147588,UP
Q80W22,Thnsl2,-1.4591230858178337,DOWN
Q91YN9,Bag2,-0.7079031849094745,DOWN
Q99L45,Eif2s2,-2.685688325738035,DOWN
Q9D0A3,Arpin,-0.8714887185633827,DOWN
Q9D967,Mdp1,-0.6390761914168435,DOWN
Q9WVK4,Ehd1,-2.123618020627148,DOWN
Q9Z0E6,Gbp2,0.6397085324711365,UP
Q9Z0H3,Smarcb1,-0.9531493411221142,DOWN
O89051,Itm2b,-2.8540732142794076,DOWN
P23927,Cryab,-2.788147119971317,DOWN
Q91VR8,Brk1,-1.6782446843038898,DOWN
Q9D1K2,Atp6v1f,-1.4924076031644211,DOWN
Q8CG76,Akr7a2,-1.1780084894039489,DOWN
Q8K0G5,Tssc1,-0.946360162031862,DOWN
Q569Z5,Ddx46,-2.487156819381078,DOWN
O09174,Amacr,-3.6865809798631393,DOWN
Q80W65,Pcsk9,-0.7104859121059539,DOWN
Q61477,Nbl1,-1.2256194416160966,DOWN
P21570,Ang,-0.9177326926011881,DOWN
Q8K135,Kiaa0319l,-3.3542013569915063,DOWN
Q61072,Adam9,-1.6409290462563204,DOWN
Q8BME9,Cbln4,1.3441797243359794,UP
Q8BNA6,Fat3,1.2882571762389425,UP
P21614,Gc,-1.3411925820398245,DOWN
Q03146,Ddr1,0.7237620939095459,UP
Q9Z0J7,Gdf15,-1.4184829256636333,DOWN
Q99LJ1,Fuca1,-1.338216370464751,DOWN
P35762,Cd81,1.128518868011386,UP
Q8K479,C1qtnf5,-0.7383485321921555,DOWN
Q9ES89,Extl2,0.6647525657431173,UP
Q9D1C8,Vps28,0.988194280081069,UP
Q8R0F3,Sumf1,1.094000544257896,UP
P35282,Rab21,-0.776996081208178,DOWN
Q8R2Y2,Mcam,-0.6193618641667694,DOWN
P02802,Mt1,1.9646692619945152,UP
Q8CFI2,Cdc34,0.7324550413142606,UP
P70460,Vasp,1.2285976235855667,UP
P12815,Pdcd6,0.8448614864492697,UP
Q62422,Ostf1,-0.8502262063049941,DOWN
O70400,Pdlim1,-1.5690844439597236,DOWN
P82343,Renbp,-1.3425034098327622,DOWN
Q91YN5,Uap1,0.7386323884362116,UP
O88952,Lin7c,-0.8721306289819784,DOWN
P62242,Rps8,1.512913220751737,UP
Q9D820,Prorsd1,-0.9845416194871424,DOWN
Q8R0Y6,Aldh1l1,-0.9477145812362922,DOWN
Q9CR41,Hypk,1.1684735297547628,UP
Q9QUH0,Glrx,-1.0595518977468414,DOWN
P52795,Efnb1,1.985992278910421,UP
P67984,Rpl22,1.820774741318806,UP
Q8C1B7,2018-09-11 00:00:00,-1.3308469719187084,DOWN
Q9R0Y5,Ak1,-0.9039707260933787,DOWN
Q9CQ65,Mtap,0.8934670842051662,UP
P61358,Rpl27,0.8821756409242089,UP
Q3U0V1,Khsrp,-3.0635599851785633,DOWN
O54984,Asna1,1.0721421515707932,UP
P62301,Rps13,1.0006465652821102,UP
P53612,Rabggtb,1.2260196586539438,UP
P50295,Nat2,2.3313314781000516,UP
Q9D9A7,Ptges3l,0.8973134431758691,UP
Q3UL36,Arglu1,-4.804144857423629,DOWN
Q91XE4,Acy3,-0.5910526804460364,DOWN
O08583;Q9JJW6,Alyref;Alyref2,1.2399724701614154,UP
P12787,Cox5a,0.6863263559694065,UP
Q91WE2,Fam192a,1.8912609019305262,UP
Q8VCX1,Akr1d1,-0.7962665491631898,DOWN
O70423,Aoc3,-1.0025533984265547,DOWN
O08912,Galnt1,-1.1934582716192332,DOWN
O70274;Q63739,Ptp4a2;Ptp4a1,-1.2935306722320203,DOWN
P55002,Mfap2,-1.1250834153752725,DOWN
P57716,Ncstn,0.9003044796222011,UP
Q4QY64,Atad5,1.4170924496510804,UP
Q61753,Phgdh,-1.5640612267525458,DOWN
Q6PEB6,Mob4,-2.0314412635714976,DOWN
Q80WB5,Wdyhv1,0.7372772915140937,UP
Q8BG73,Sh3bgrl2,-1.094911574772354,DOWN
Q8BRH0,Tmtc3,1.2751629250693808,UP
Q91W39,Ncoa5,-1.0471049659937859,DOWN
Q9CQ10,Chmp3,-0.814809448158107,DOWN
Q9CR57,Rpl14,-0.712956820809529,DOWN
Q9CX86,Hnrnpa0,-3.7783923846362906,DOWN
Q9D880,Timm50,-2.7276559524896413,DOWN
Q9DAI2,Ift22,-1.488395529656052,DOWN
Q9WV98,Timm9,-1.4625886091766416,DOWN
Q9Z0Y1,Dctn3,-1.23563151345172,DOWN
P12850,Cxcl1,-3.303868623867206,DOWN
Q91YQ5,Rpn1,2.0662071857005113,UP
P17125,Tgfb3,-1.806509824257048,DOWN
Q9CXF4,Tbc1d15,-0.7291707513134005,DOWN
Q8BGL1,Ppm1n,1.9650880532064892,UP
Q9CT10,Ranbp3,-1.3315863406252388,DOWN
Q8K5B2,Mcfd2,0.9578759680813671,UP
Q03366,Ccl7,-0.7854910164327873,DOWN
P55292,Dsc2,-0.7113673815090014,DOWN
P97857,Adamts1,-1.2439598190147196,DOWN
O88452,Stc2,1.845453564373394,UP
Q9Z126,Pf4,0.6093274354864473,UP
Q9Z0F8,Adam17,-1.3334074682692911,DOWN
Q9WVJ9,Efemp2,-1.9292583100622758,DOWN
P97464,Ext1,1.4161623641726417,UP
P50228,Cxcl5,-0.7323455824170593,DOWN
Q9R0M4,Podxl,1.6258705518570549,UP
Q9JME7,Trappc2l,1.006846588094746,UP
Q64695,Procr,0.6033814191291247,UP
Q6PDJ1,Cachd1,0.9394288081223889,UP
Q8BLX7,Col16a1,-4.396480833038986,DOWN
Q62470,Itga3,-0.6558303346285299,DOWN
Q921V5,Mgat2,-1.4140309416645036,DOWN
O35127,Grcc10,-1.3423247384107504,DOWN
O08759,Ube3a,-2.1787103503704803,DOWN
P81117,Nucb2,-0.962132118511811,DOWN
O08573,Lgals9,0.8279629085282749,UP
Q9JHH9,Copz2,0.8161246080351724,UP
P35293,Rab18,2.586349670886298,UP
Q8CAQ8,Immt,-0.8018701440755837,DOWN
Q62266,Sprr1a,1.3036111035594673,UP
P63254,Crip1,0.6275127913003445,UP
Q9Z0U1,Tjp2,1.3085900522261609,UP
Q9R111,Gda,-1.4685043761696772,DOWN
Q8VE47,Uba5,1.5754263387489047,UP
Q921F2,Tardbp,-0.8202903289720966,DOWN
Q9D3R6;Q3UMC0,Katnal2;Spata5,-1.3526144062602827,DOWN
Q6P8J2,Sat2,1.4427149582532914,UP
P97352,S100a13,-0.6882027581024222,DOWN
P29595,Nedd8,-2.7086945783767455,DOWN
Q9D0E1,Hnrnpm,-1.495650264705147,DOWN
Q91UZ5,Impa2,0.8895509895385837,UP
