UniProt Accession Number,Gene names,log2FC,regulated
Q9Z1Z2,Strap,0.7578518512969458,UP
P80317,Cct6a,-0.9423347496255263,DOWN
P05063,Aldoc,1.0808659528566849,UP
Q9CWS0,Ddah1,0.8503363836356996,UP
Q05186,Rcn1,0.8426965243415404,UP
Q9CQI3,Gmfb,1.5189293451977153,UP
Q9Z0N1,Eif2s3x,1.0801577143466137,UP
Q8BGR9,Ublcp1,0.72028489020848,UP
Q9D051,Pdhb,1.4463537373958557,UP
F6ZDS4,Tpr,0.75224056518024,UP
P05132;P68181,Prkaca;Prkacb,1.569315255198692,UP
Q9D819,Ppa1,0.7544236316165847,UP
P59242,Cgn,-0.6084612960094544,DOWN
P30681,Hmgb2,2.1060102713614173,UP
P63158,Hmgb1,2.318479460104534,UP
Q62446,Fkbp3,1.5481694704948228,UP
Q91W89,Man2c1,1.7471981417041418,UP
Q9EQU5,Set,2.8123253883682455,UP
Q8BP92,Rcn2,0.64275371873941,UP
A6H630,Armt1,0.5966742337961589,UP
P01901,H2-K1,0.5970256299326061,UP
P12804,Fgl2,0.5955054506739668,UP
Q8VC30,Dak,0.6301154683281677,UP
Q9QWR8,Naga,1.5000085242458872,UP
Q99L47,St13,2.4142068102447087,UP
P80313,Cct7,-0.6296468464817314,DOWN
P46471,Psmc2,1.2914387296805043,UP
Q9CQM9,Glrx3,1.0191561619920555,UP
A6H5Y3,Mtr,0.5947479067155814,UP
Q9CPW4,Arpc5,1.2951684288520169,UP
Q9EST5,Anp32b,3.1257568665957005,UP
Q9CZ30,Ola1,1.0659653848426227,UP
Q8C878,Uba3,1.0571013355975076,UP
O54724,Ptrf,2.2577915130393573,UP
P28474,Adh5,0.7038344916845247,UP
Q8BGF3,Wdr92,1.4594495220128456,UP
Q8R146,Apeh,1.1608703163930036,UP
P61089,Ube2n,0.8712567370611943,UP
O35864,Cops5,0.947731235739095,UP
O89079,Cope,0.8659177017381026,UP
Q64442,Sord,1.501769136373713,UP
P27612,Plaa,-1.2047814320893095,DOWN
Q8R3Q6,Ccdc58,1.848148485670102,UP
Q99JF8,Psip1,1.0534266595676882,UP
P51859,Hdgf,1.0949376505469064,UP
Q61937,Npm1,1.1418641344599323,UP
Q61584,Fxr1,-1.5112326618621028,DOWN
Q9QXD6,Fbp1,-0.9559049752468112,DOWN
Q9WTM3,Sema6c,1.4149925328196167,UP
Q06335,Aplp2,-0.7531791197385135,DOWN
O35684,Serpini1,0.9554121086520649,UP
Q811B1,Xylt1,0.6804049480077656,UP
P63330,Ppp2ca,-1.8999953622536125,DOWN
Q06138,Cab39,1.6054288193516073,UP
P63087,Ppp1cc,-0.7947667594625092,DOWN
Q9D1P4,Chordc1,0.7312283998876862,UP
P62141,Ppp1cb,2.172716925131027,UP
Q8BWY3,Etf1,1.1454210446875892,UP
Q8CAY6,Acat2,1.35446739716164,UP
Q9CZD3,Gars,1.6408106857078806,UP
Q00612,G6pdx,-1.208304553583681,DOWN
P97351,Rps3a,0.7257891149689446,UP
Q11136,Pepd,0.7604795310466532,UP
O35737;P70333,Hnrnph1;Hnrnph2,0.6794278310961076,UP
P97315,Csrp1,0.9703935960618946,UP
Q60715,P4ha1,2.1859643231281676,UP
Q9Z2N8,Actl6a,0.602398160732771,UP
Q62188,Dpysl3,-0.6847210537317896,DOWN
P99029,Prdx5,1.4516468765079182,UP
Q9DC23,Dnajc10,1.2841173687607286,UP
Q60598,Cttn,1.240224687884211,UP
Q9D2M8,Ube2v2,0.760789606534364,UP
P61327;Q9CQL1,Magoh;Magohb,0.8614918545398789,UP
Q9JJU8,Sh3bgrl,-0.9043905611504549,DOWN
Q9JK81,Myg1,0.598642951947592,UP
P70195,Psmb7,-0.6361079959138995,DOWN
A3KMP2,Ttc38,1.3852293868497565,UP
Q8K4Z3,Apoa1bp,0.7349006773724379,UP
P00015,Cyct,-1.1610974953464188,DOWN
B9EKR1,Ptprz1,1.811836593487196,UP
Q9JHQ5,Lztfl1,-1.301763014145541,DOWN
B2RXS4,Plxnb2,-2.3004644411240562,DOWN
Q60648,Gm2a,-0.6551565127602098,DOWN
P29391;P49945,Ftl1;Ftl2,0.8764111037078343,UP
Q60973,Rbbp7,0.9713890469631079,UP
Q61699,Hsph1,-0.9268075254551309,DOWN
P53811,Pitpnb,0.7245257160940938,UP
