© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Transcriptional regulation by RUNX3	7.63E00	1.75E-01	-0.243	ADRM1,JAG1,PSMA6,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,SPP1,TGFB1	
Centrosomal KIAA0586 Signaling Pathway	7.62E00	1.49E-01	0.000	CSPG4,CUL1,MACF1,MAPK1,MAPK14,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,VCAN	
3-phosphoinositide Degradation	7.62E00	1.23E-01	1.941	ACP6,CILP,DCPH1,MDP1,NUDT14,NUDT2,NUDT9,PDXP,PLCD1,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,PPP1R7,PPP2CA,PPP2CB,PPP4C,PPP4R1,PPP5C,PSPH,PTPA,SET,THNSL2,UBLCP1	
Mitochondrial protein degradation	7.57E00	1.73E-01	1.213	ACO2,COX5A,COX5B,CS,DLD,ECH1,FH,HADH,HTRA2,IDH2,IDH3A,LDHD,ME2,PDHB,SSBP1,TIMM9,TRIAP1	
Synthesis of DNA	7.52E00	1.54E-01	0.229	ADRM1,CUL1,MCM2,MCM6,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,RPA3	
D-myo-inositol-5-phosphate Metabolism	7.45E00	1.21E-01	2.138	ACP6,CILP,DCPH1,MDP1,NUDT14,NUDT2,NUDT9,PDXP,PLCD1,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,PPP1R7,PPP2CA,PPP2CB,PPP4C,PPP4R1,PPP5C,PSPH,PTPA,SET,THNSL2,UBLCP1	
PTEN Regulation	7.42E00	1.39E-01	-0.655	ADRM1,CSNK2B,MAPK1,MOV10,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,RBBP7,RHEB,USP7	
CLEAR Signaling Pathway	7.42E00	1.05E-01	2.191	ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,EGFR,GBA1,GLB1,GNS,HEXB,LAMP1,MAPK1,MAPK14,NEU1,PPM1L,PPP2CA,PPP2CB,PTPA,RHEB,SCPEP1,SEC13,SUMF1,TGFB1,TNFRSF1B,VPS26A,VPS35,YWHAE,YWHAG,YWHAH	
COPI-mediated anterograde transport	7.3E00	1.67E-01	2.668	ARF4,COPE,COPG2,COPZ1,COPZ2,DCTN2,DCTN3,DYNC1H1,NAPA,NSF,RAB1B,SPTBN1,TUBA1A,TUBB2A,TUBB3,USO1,YKT6	
Interleukin-1 family signaling	7.13E00	1.46E-01	0.688	ADRM1,CUL1,IL1RL1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,UBE2N,UBE2V1	
MAPK6/MAPK4 signaling	7.11E00	1.72E-01	-0.500	ADRM1,MOV10,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
3-phosphoinositide Biosynthesis	7.08E00	1.16E-01	1.941	ACP6,CILP,DCPH1,MDP1,NUDT14,NUDT2,NUDT9,PDXP,PLCD1,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,PPP1R7,PPP2CA,PPP2CB,PPP4C,PPP4R1,PPP5C,PSPH,PTPA,SET,THNSL2,UBLCP1	
ABC-family proteins mediated transport	7.08E00	1.53E-01	0.000	ADRM1,EIF2S2,EIF2S3,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,VPS28	
RAF/MAP kinase cascade	7.07E00	1.06E-01	0.000	ACTB,ADRM1,EGFR,FGA,IQGAP1,MAPK1,PEA15,PPP1CB,PPP1CC,PPP2CA,PPP2CB,PPP5C,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,SPTBN1,TLN1	
Axonal Guidance Signaling	7.06E00	8.19E-02	NaN	ACTR3,ADAM17,ADAM9,ADAMTS1,ADAMTS4,ADAMTS5,ANPEP,ARPC1A,ARPC2,ARPC5,COPS5,CRKL,EFNB1,EIF3F,EIF3H,EIF4E,GNB1,GNG12,ITGA3,ITGB1,LNPEP,MAPK1,MMP14,Mmp3,MMP7,MYL12B,MYL9,PITRM1,PLCD1,PLXNB2,PMPCB,PSMD14,SDCBP,SEMA4B,SEMA5A,SEMA6C,SEMA6D,SLIT3,TUBA1A,TUBB2A,Tubb2b,TUBB3,VASP	
MicroRNA Biogenesis Signaling Pathway	7.05E00	1.23E-01	1.964	CSDE1,DNAJA2,EGFR,EXOSC2,FUS,HSP90AA1,KHSRP,MAPK1,MAPK14,NUP37,PIWIL2,POLR2D,POLR2E,POLR2H,POLR2I,PTGES3,SEC13,SF3A1,ST13,TGFB1,TGFB3,TPR,TSNAX	
RHO GTPases activate PKNs	6.69E00	3.21E-01	1.000	MYH11,MYH9,MYL12B,MYL9,PPP1CB,PPP1R12B,YWHAE,YWHAG,YWHAH	
RHO GTPases activate PAKs	6.66E00	3.81E-01	2.121	CTTN,MYH11,MYH9,MYL12B,MYL9,MYLK,PPP1CB,PPP1R12B	
S Phase	6.59E00	1.58E-01	0.000	ADRM1,CUL1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
Deadenylation-dependent mRNA decay	6.56E00	2.14E-01	2.309	EIF4A3,EIF4B,EIF4E,EIF4G1,EXOSC2,LSM2,LSM4,LSM5,LSM6,NT5C3B,PAIP1,SKIC8	
MHC class II antigen presentation	6.53E00	1.41E-01	1.886	AP1G1,AP1M1,AP1S1,AP1S2,AP2M1,CANX,CTSH,CTSO,DCTN2,DCTN3,DNM1L,DYNC1H1,SEC13,SEC23A,SEC31A,TUBA1A,TUBB2A,TUBB3	
GP6 Signaling Pathway	6.53E00	1.41E-01	0.943	COL11A1,COL12A1,COL15A1,COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,Col6a4,COL7A1,FGA,LAMA2,LAMA4,LAMC2,TLN1	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	6.47E00	2.11E-01	2.887	DCTN2,DCTN3,DNAJA1,DNAJA2,DYNC1H1,FKBP4,HSP90AA1,PTGES3,STIP1,TUBA1A,TUBB2A,TUBB3	
Wound Healing Signaling Pathway	6.45E00	1.04E-01	0.000	COL11A1,COL12A1,COL15A1,COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,Col6a4,COL7A1,EGFR,IL1RL1,ITGA3,ITGB1,LAMA2,LAMC2,LIF,MAPK1,PF4,STAT1,TGFB1,TGFB3,TNFRSF1B	
Superpathway of Inositol Phosphate Compounds	6.14E00	1.03E-01	2.138	ACP6,CILP,DCPH1,MDP1,NUDT14,NUDT2,NUDT9,PDXP,PLCD1,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,PPP1R7,PPP2CA,PPP2CB,PPP4C,PPP4R1,PPP5C,PSPH,PTPA,SET,THNSL2,UBLCP1	
Maternal to Zygotic Transition Signaling Pathway	6.13E00	1.32E-01	0.000	ACTB,EIF4A3,EIF4B,EIF4E,EIF4G1,ELOC,MAPK1,PABPN1,PAIP1,POLR2D,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,RPS2,SMARCB1,SPIN1	
Integrin cell surface interactions	6.06E00	1.65E-01	1.069	COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,COL7A1,FGA,ITGA3,ITGB1,LUM,SPP1	
KEAP1-NFE2L2 pathway	6E00	1.24E-01	0.229	ADRM1,CSNK2B,CUL1,DPP3,NME3,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
Z-decay: degradation of maternal mRNAs by zygotically expressed factors	5.96E00	5E-01	2.449	EIF4A3,EIF4B,EIF4E,EIF4G1,PABPN1,PAIP1	
Cellular response to heat stress	5.85E00	1.49E-01	1.291	BAG2,BAG5,CRYAB,FKBP4,HSP90AA1,HSPH1,MAPK1,NUP37,PTGES3,RPA3,SEC13,SERPINH1,ST13,TPR,YWHAE	
Signaling by TGF-beta Receptor Complex	5.83E00	2.04E-01	-0.302	CGN,ITGB1,NEDD4L,NEDD8,PPP1CA,PPP1CB,PPP1CC,STRAP,TGFB1,TGFB3,UCHL5	
Signaling by NOTCH4	5.81E00	1.26E-01	0.943	ADRM1,CUL1,JAG1,NCSTN,NME3,PSMA6,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
Deubiquitination	5.78E00	9.41E-02	0.577	ACTB,ACTL6A,ADRM1,BABAM1,NEDD8,OTUB1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,RAD23A,RUVBL1,TGFB1,UCHL5,USP47,USP7,USP9X	
Transcriptional regulation by RUNX1	5.73E00	1.11E-01	0.218	ACTL6A,ADRM1,CSNK2B,H2AX,LGALS3,LIFR,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,SMARCB1	
NER (Nucleotide Excision Repair, Enhanced Pathway)	5.69E00	1.54E-01	-0.302	COPS2,COPS4,COPS5,COPS6,COPS8,GPS1,NEDD8,POLR2D,POLR2E,POLR2H,POLR2I,RPA3,UBE2N,USP7	
Response to elevated platelet cytosolic Ca2+	5.66E00	1.29E-01	1.213	ANXA5,APLP2,CD9,CYRIB,FGA,GAS6,IGF2,LAMP2,OLA1,PF4,SERPING1,SOD1,TGFB1,TGFB3,TIMP1,TLN1,TMSB4X	
Mitotic G1 phase and G1/S transition	5.61E00	1.28E-01	0.243	ADRM1,CUL1,PPP2CA,PPP2CB,PSMA6,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
Actin Cytoskeleton Signaling	5.54E00	9.84E-02	0.229	ACTB,ACTR3,ARPC1A,ARPC2,ARPC5,BRK1,CRKL,GNG12,IQGAP1,ITGA3,ITGB1,MAPK1,MPRIP,MYH11,MYH9,MYL12B,MYL9,MYLK,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,TLN1,TMSB4X	
Integrin to Cytoskeleton Signaling Pathway	5.51E00	1.04E-01	1.500	ACTB,ACTR3,ARF4,ARPC1A,ARPC2,ARPC5,CAPN2,CRKL,CTTN,ITGA3,ITGB1,MAPK1,MPRIP,MYL12B,MYL9,MYLK,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,TLN1,VASP	
Tight Junction Signaling	5.48E00	1.1E-01	NaN	ACTB,CGN,CLDN4,MYH11,MYH9,MYL9,MYLK,NAPA,NSF,PPM1L,PPP2CA,PPP2CB,PTPA,TGFB1,TGFB3,TJP2,TNFRSF1B,VASP,YBX3,YKT6	
Sertoli Cell-Sertoli Cell Junction Signaling	5.45E00	9.72E-02	1.279	ACTB,CDH16,CGN,CLDN4,EGFR,IL1RL1,ITGA3,ITGB1,JUP,LAMA2,LAMA4,LAMC2,MAPK1,MAPK14,SPTBN1,TGFB3,TIMP1,TJP2,TNFRSF1B,TUBA1A,TUBB2A,Tubb2b,TUBB3,YBX3	
Remodeling of Epithelial Adherens Junctions	5.4E00	1.69E-01	1.633	ACTB,ACTR3,ARPC1A,ARPC2,ARPC5,DNM1L,IQGAP1,RAB5C,TUBA1A,TUBB2A,Tubb2b,TUBB3	
Iron uptake and transport	5.36E00	1.83E-01	-0.302	ALAD,ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,CUL1,GLRX3,HEPH,NEDD8	
RHOA Signaling	5.33E00	1.28E-01	-0.832	ACTB,ACTR3,ARHGAP1,ARPC1A,ARPC2,ARPC5,MPRIP,MYL12B,MYL9,MYLK,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,SEPTIN11,SEPTIN9	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	5.27E00	9.75E-02	1.043	ACTB,ACTR3,ARPC1A,ARPC2,ARPC5,CLDN4,IL1RL1,IQGAP1,ITGA3,ITGB1,JUP,LAMA2,LAMA4,LAMC2,MAPK1,MAPK14,PPM1L,PPP2CA,PPP2CB,PTPA,TGFB1,TGFB3,TNFRSF1B	
Protein folding	5.25E00	1.41E-01	-1.069	ACTB,CCT5,CCT6A,CCT7,CSNK2B,GBA1,GNB1,GNG12,PFDN1,PFDN5,TCP1,TUBA1A,TUBB2A,TUBB3	
Intra-Golgi and retrograde Golgi-to-ER traffic	5.23E00	1.03E-01	1.964	ARF4,ARL1,COPE,COPG2,COPZ1,COPZ2,DCTN2,DCTN3,DYNC1H1,GALNT1,MAN2A2,NAPA,NSF,PAFAH1B1,RAB18,RAB1B,SEC22B,TUBA1A,TUBB2A,TUBB3,YKT6	
Regulation of Actin-based Motility by Rho	5.23E00	1.33E-01	-0.577	ACTB,ACTR3,ARPC1A,ARPC2,ARPC5,ITGA3,ITGB1,MPRIP,MYL12B,MYL9,MYLK,PPP1CA,PPP1CB,PPP1CC,PPP1R12B	
DNA Replication Pre-Initiation	5.22E00	1.2E-01	0.243	ADRM1,H2AX,MCM2,MCM6,PSMA6,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
ISG15 antiviral mechanism	5.21E00	1.62E-01	2.887	EIF4A3,EIF4E,EIF4G1,FLNB,IRF3,KPNA3,NUP37,PPM1B,SEC13,STAT1,TPR,UBE2N	
Apoptotic execution phase	5.12E00	1.92E-01	2.530	CASP3,DNM1L,DSP,FNTA,H1-1,HMGB1,HMGB2,LMNB1,PKP1,TJP2	
Hedgehog 'on' state	5.1E00	1.17E-01	-0.243	ADRM1,CDC73,NME3,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
Semaphorin interactions	5.07E00	1.72E-01	2.111	DPYSL3,DPYSL4,HSP90AA1,ITGB1,MYH11,MYH9,MYL12B,MYL9,SEMA5A,SEMA6D,TLN1	
mRNA 3 Prime End Processing Signaling Pathway	5.04E00	1.36E-01	0.832	CIRBP,CPSF7,EIF4G1,EXOSC2,FUS,HNRNPF,HNRNPK,MAPK1,PABPN1,PPP1CA,PPP1CB,PPP1CC,RBM3,SET	
HIPPO signaling	5.02E00	1.56E-01	0.707	CUL1,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP2CA,PPP2CB,PTPA,TJP2,YWHAE,YWHAG,YWHAH	
S-Adenosylmethionine Regulatory Signaling Pathway	4.96E00	1.43E-01	-0.277	AHCY,AS3MT,G6PD,MAPK1,MAPK14,MAT2A,MTAP,MTR,PHGDH,PPM1L,PPP2CA,PPP2CB,PTPA	
RHO GTPase cycle	4.96E00	7.56E-02	2.058	ACTB,ANKFY1,ARHGAP1,ARHGDIB,BRK1,CAVIN1,CCT6A,CCT7,CDC37,COPS2,COPS4,CPSF7,DSP,GPS1,HSP90AA1,IQGAP1,ITGB1,JAG1,JUP,LMNB1,MCAM,MTR,NSFL1C,SLK,SPTBN1,STIP1,STMN2,TJP2,TMOD3,TPM3,TRIP10,TXNL1,USP9X,YKT6	
EPH-Ephrin signaling	4.86E00	1.4E-01	2.496	ACTB,ACTR3,AP2M1,ARPC1A,ARPC2,ARPC5,EFNB1,MYH11,MYH9,MYL12B,MYL9,NCSTN,SDCBP	
Pentose Phosphate Pathway	4.78E00	4.55E-01	0.447	G6PD,H6PD,PGD,RPE,TALDO1	
Pathogen Induced Cytokine Storm Signaling Pathway	4.76E00	7.85E-02	0.962	CASP3,CCL2,Ccl7,COL11A1,COL12A1,COL15A1,COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,Col6a4,COL7A1,Cxcl1,Cxcl5,FGA,IFNAR2,IL1RL1,IRF3,LIF,MAPK1,MAPK14,PF4,STAT1,TGFB1,TGFB3,TNFRSF1B	
Pulmonary Fibrosis Idiopathic Signaling Pathway	4.75E00	8.28E-02	1.000	ACTB,ADAMTS1,BAX,COL11A1,COL12A1,COL15A1,COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,Col6a4,COL7A1,EGFR,ITGB1,JAG1,MAPK1,MAPK14,MMP14,Mmp3,MMP7,RBBP7,TGFB1,TGFB3	
TP53 Regulates Transcription of DNA Repair Genes	4.69E00	1.57E-01	2.111	AP1G1,AP1M1,AP1S1,AP1S2,ELOB,ELOC,POLR2D,POLR2E,POLR2H,POLR2I,SUPT16H	
Signaling by PDGF	4.68E00	1.72E-01	1.897	COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,CRKL,PLAT,SPP1,STAT1,THBS2	
Beta-catenin independent WNT signaling	4.64E00	9.71E-02	0.000	ADRM1,AP2M1,GNB1,GNG12,MOV10,NME3,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
RHO GTPases activate CIT	4.58E00	3.16E-01	1.633	MYH11,MYH9,MYL12B,MYL9,PPP1CB,PPP1R12B	
RHO GTPases Activate ROCKs	4.58E00	3.16E-01	1.633	MYH11,MYH9,MYL12B,MYL9,PPP1CB,PPP1R12B	
Neuron Navigator Signaling Pathway	4.57E00	1.53E-01	0.905	ACTB,ACTR3,ARPC1A,ARPC2,ARPC5,EGFR,TUBA1A,TUBB2A,Tubb2b,TUBB3,YWHAE	
Clathrin-mediated Endocytosis Signaling	4.55E00	9.57E-02	NaN	ACTB,ACTR3,AP1G1,AP1M1,AP1S1,AP1S2,AP2M1,AP3D1,APOE,ARPC1A,ARPC2,ARPC5,CSNK2B,CTTN,DNM1L,ITGB1,Lyz1/Lyz2,RAB5C,RBP4,USP9X	
Fc epsilon receptor (FCERI) signaling	4.52E00	9.52E-02	0.894	ADRM1,CDC34,CUL1,MAPK1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,UBE2N,UBE2V1	
Asparagine N-linked glycosylation	4.49E00	1.15E-01	1.807	B4GALT1,CANX,FUCA1,MAN2A2,MCFD2,MGAT2,MLEC,MVD,NAGK,NUDT14,PRKCSH,RENBP,RPN1,ST6GAL1,UAP1	
Cyclophilin Signaling Pathway	4.46E00	8.91E-02	1.279	APOE,CASP3,CCL2,CWC15,Cyct,HLA-A,IRF3,LRP1,MAPK1,MAPK14,PDIA6,PLRG1,PPIF,PRPF19,PTGES3,SF3A1,SF3B5,SNRNP200,SPP1,TIMM50,TIMM8B,TIMM9	
Neutrophil Extracellular Trap Signaling Pathway	4.44E00	7.43E-02	0.730	ATP5F1D,CASP3,COL11A1,COL12A1,COL15A1,COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,Col6a4,COL7A1,HMGB1,ITGA3,ITGB1,LTF,MAPK1,MAPK14,NDUFV2,PF4,PLA2G15,PLCD1,PPIF,SDHA,TIMM50,TIMM8B,TIMM9,UQCRFS1	
Valine Degradation I	4.44E00	3E-01	2.236	ABAT,BCAT2,DLD,ECHS1,HIBCH,HSD17B4	
Semaphorin Neuronal Repulsive Signaling Pathway	4.36E00	1.07E-01	0.277	CSPG4,DPYSL3,DPYSL4,ITGA3,ITGB1,MPRIP,MYL12B,MYL9,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,SEMA5A,SEMA6C,SEMA6D,VCAN	
Mitochondrial Dysfunction	4.35E00	7.85E-02	-2.558	ACO2,ATP5F1D,BAX,BID,CAPN2,CASP3,COX5A,COX5B,DLD,DNM1L,FIS1,FUS,GPX7,Gsta3,GSTK1,HTRA2,IDH2,MYH9,NCSTN,NDUFV2,PDHB,PPIF,SDHA,SOD1,TARDBP,UQCRFS1,UQCRH	
RNA Polymerase II Transcription	4.32E00	1.07E-01	1.500	CDC73,CPSF7,EIF4A3,ELOB,ELOC,GTF2A2,PABPN1,POLR2D,POLR2E,POLR2H,POLR2I,SKIC8,SNRPD3,SNRPF,SNRPG,SUPT16H	
Protein ubiquitination	4.31E00	2.33E-01	1.890	CDC34,UBE2A,UBE2G1,UBE2H,UBE2L3,USP7,USP9X	
TCF dependent signaling in response to WNT	4.28E00	8.9E-02	-0.655	ADRM1,CDC73,CSNK2B,H2AX,PPP2CA,PPP2CB,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,RUVBL1	
CDK5 Signaling	4.25E00	1.23E-01	-0.707	ITGA3,ITGB1,LAMA2,LAMC2,MAPK1,MAPK14,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP2CA,PPP2CB,PTPA	
Caveolar-mediated Endocytosis Signaling	4.24E00	1.41E-01	-0.447	ACTB,CAVIN1,COPE,COPG2,COPZ1,EGFR,FLNB,HLA-A,ITGA3,ITGB1,RAB5C	
Cerebral Malformation Signaling Pathway	4.22E00	1.09E-01	0.632	ADAMTS5,CCL2,CTTN,ITGB1,JUP,MAPK1,MOB4,MYL12B,MYL9,PDCD10,PPM1L,PPP2CA,PPP2CB,PROCR,PTPA	
Spliceosomal Cycle	4.21E00	1.7E-01	1.414	CWC15,DDX46,EFTUD2,EIF4A3,PLRG1,PRPF19,SF3A1,SF3B5,SNRNP200	
Signaling by MET	4.19E00	1.39E-01	2.111	COL11A1,COL1A2,COL5A1,COL5A2,CRKL,HGFAC,ITGA3,ITGB1,LAMA2,LAMA4,LAMC2	
Degradation of the extracellular matrix	4.08E00	1.36E-01	0.905	ADAMTS1,ADAMTS4,ADAMTS5,CAPN2,CASP3,HTRA1,LAMC2,MMP14,MMP7,NCSTN,SPP1	
MITF-M-dependent gene expression	4.08E00	1.18E-01	-1.387	ACTB,ACTL6A,ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,HINT1,MAPK14,MCM2,MOV10,SMARCB1	
Elastic fibre formation	4.02E00	1.82E-01	-0.707	EFEMP2,FBLN1,FBLN5,ITGB1,LOXL3,MFAP2,TGFB1,TGFB3	
Pentose phosphate pathway	4.02E00	3.33E-01	0.447	DERA,G6PD,PGD,RPE,TALDO1	
CSDE1 Signaling Pathway	4.02E00	1.61E-01	1.633	CCL2,CSDE1,CTTN,FUS,PABPN1,PAIP1,PIWIL2,SYNCRIP,TGFB1	
Glycosaminoglycan metabolism	4.01E00	1.1E-01	3.207	ARSB,B4GALT1,CSPG4,EXT1,EXT2,GLB1,GLB1L,GNS,GPC4,HEXB,LUM,OGN,VCAN,XYLT1	
Iron homeostasis signaling pathway	3.97E00	1.04E-01	NaN	ACO2,ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1G1,ATP6V1H,CDC34,CIAO1,CUL1,EGFR,GDF15,HEPH,LRP1,MAPK1	
Cargo concentration in the ER	3.94E00	2.06E-01	1.134	COL7A1,LMAN2,MCFD2,MIA3,SEC22B,SEC23A,SEC23B	
LXR/RXR Activation	3.9E00	1.08E-01	-1.414	ACACA,APOE,C4a/C4b,CCL2,ECHS1,FGA,GC,HADH,IL1RL1,IRF3,Lyz1/Lyz2,RBP4,SERPINF1,TNFRSF1B	
M-decay: degradation of maternal mRNAs by maternally stored factors	3.88E00	1.74E-01	2.121	EIF4A3,EIF4B,EIF4E,EIF4G1,ELOC,PAIP1,POLR2D,RPS2	
Nucleotide catabolism	3.86E00	2E-01	1.890	ENTPD5,GDA,ITPA,NT5C2,NUDT16,NUDT9,XDH	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	3.74E00	7.62E-02	1.528	ADAM17,ADAM9,COL11A1,COL12A1,COL15A1,COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,Col6a4,COL7A1,FRZB,IL1RL1,MAPK1,MAPK14,MMP14,Mmp3,MMP7,SPP1,TNFRSF1B	
Chondroitin Sulfate Degradation (Metazoa)	3.73E00	2.94E-01	1.342	ARSB,Chil3/Chil4,GM2A,HEXB,OGA	
Cilium Assembly	3.71E00	8.82E-02	0.471	ARF4,CCT5,CCT6A,CCT7,DCTN2,DCTN3,DYNC1H1,HSP90AA1,IFT22,LZTFL1,PAFAH1B1,PDE6D,TCP1,TUBA1A,TUBB2A,TUBB3,YWHAE,YWHAG	
trans-Golgi Network Vesicle Budding	3.7E00	1.33E-01	1.897	AP1G1,AP1M1,AP1S1,AP1S2,CHMP2A,GNS,NAPA,RAB5C,SNX5,SORT1	
Detoxification of Reactive Oxygen Species	3.7E00	1.89E-01	1.134	ATOX1,CCS,GPX7,NUDT2,PRDX5,SOD1,TXNRD2	
Isoleucine Degradation I	3.6E00	2.78E-01	NaN	Acat2/Acat3,BCAT2,DLD,ECHS1,HSD17B4	
Sphingolipid metabolism	3.59E00	1.12E-01	1.732	ARSB,ASAH2,GBA1,GLB1,GLB1L,GM2A,HEXB,NEU1,OSBP,PPM1L,SUMF1,SUMF2	
L1CAM interactions	3.58E00	1.06E-01	1.387	ACTB,AP2M1,CSNK2B,DNM1L,EGFR,ITGB1,LYPLA2,MAPK1,SDCBP,SPTBN1,TUBA1A,TUBB2A,TUBB3	
PKR-mediated signaling	3.58E00	1.2E-01	1.508	EIF2S2,EIF2S3,NPM1,PPP2CA,PPP2CB,STAT1,SUMO2,TUBA1A,TUBB2A,TUBB3,VPS28	
Signaling by the B Cell Receptor (BCR)	3.56E00	9.2E-02	0.000	ADRM1,CUL1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9	
Hypoxia Signaling in the Cardiovascular System	3.56E00	1.28E-01	NaN	CDC34,COPS5,HSP90AA1,UBE2A,UBE2G1,UBE2H,UBE2L3,UBE2N,UBE2V1,UBE2V2	
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	3.56E00	1.57E-01	0.707	COL1A2,MAPK1,NEDD4L,PARP1,PPM1A,STAT1,USP9X,YBX1	
Sulfur amino acid metabolism	3.55E00	2.14E-01	0.816	ADI1,AHCY,ETHE1,MRI1,MTAP,MTR	
Pyroptosis	3.55E00	2.14E-01	0.816	BAX,CASP3,CHMP2A,CHMP3,CHMP4B,HMGB1	
Formation of Fibrin Clot (Clotting Cascade)	3.55E00	1.79E-01	1.134	FGA,PF4,PRCP,PROCR,SERPINC1,SERPINE2,SERPING1	
