© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Workspace	My Projects
Project	Testosterone Proteomics 2026-08
Analysis	Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Date	Thu Aug 13 17:04:22 PDT 2026
Analysis ID	43610731

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
IL-15 Production	-0E00		8.20E-03	MAP2K1	
IL-15 Signaling	-0E00		5.69E-03	AKT1,MAP2K1,MLST8	
IL-4 Signaling	-0E00		5.21E-03	AKT1,COL6A5,MLST8	
Immunogenic Cell Death Signaling Pathway	-0E00		1.05E-02	TNFRSF1A	
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	-0E00		1.65E-03	HLA-A	
Insulin Secretion Signaling Pathway	-0E00		6.87E-03	EIF2B2,EIF4EBP2	
Integration of energy metabolism	-0E00		9.26E-03	GNG5	
Interferon gamma signaling	-0E00		1.02E-02	HLA-A	
Interleukin-1 family signaling	-0E00		7.69E-03	MAP2K1	
Interleukin-4 and Interleukin-13 signaling	-0E00		9.01E-03	AKT1	
Ion channel transport	-0E00		1.09E-02	CASQ2,STOM	
Keratinization	-0E00		9.26E-03	DSC1,TGM1	
Lipid Antigen Presentation by CD1	-0E00		2.41E-03	AP2A1	
Lung Ionic Balance Signaling Pathway	-0E00		5.68E-03	CELSR2,CPOX,TNFRSF1A	
Macrophage Alternative Activation Signaling Pathway	-0E00		5.18E-03	MLST8	
Macrophage Classical Activation Signaling Pathway	-0E00		5.32E-03	Il36a	
Meiosis Initiation Signaling Pathway	-0E00		1.02E-02	SMC3	
Meiotic recombination	-0E00		1.15E-02	H2AJ	
Melanocyte Development and Pigmentation Signaling	-0E00		1.01E-02	MAP2K1	
Mitochondrial Division Signaling Pathway	-0E00		6.02E-03	TNFRSF1A	
Mitotic G1 phase and G1/S transition	-0E00		7.52E-03	AKT1	
Mitotic G2-G2/M phases	-0E00		4.83E-03	DYNC1I2	
Molecular Mechanisms of Cancer	-0E00		1.05E-02	AKT1,CELSR2,CTNNB1,GNG5,ITGAV,LRP6,MAP2K1,MAPK9,MMP13	
NAD Signaling Pathway	-0E00		6.62E-03	AKT1	
NF-κB Signaling	-0E00		3.50E-03	AKT1,TNFRSF1A	
NF1 RAS Signaling Pathway	-0E00		9.29E-03	AKT1,CELSR2,GNG5,MAP2K1,RNF7	
NFKBIE Signaling Pathway	-0E00		2.22E-03	TNFRSF1A	
NUR77 Signaling in T Lymphocytes	-0E00		5.78E-03	H2-Q8,HLA-A,MAP2K1	
Necroptosis Signaling Pathway	-0E00		6.17E-03	TNFRSF1A	
Neuropeptides in Migraine Signaling Pathway	-0E00		5.65E-03	GNG5	
Neurovascular Coupling Signaling Pathway	-0E00		4.26E-03	PLA2R1	
OX40 Signaling Pathway	-0E00		6.22E-03	H2-Q8,HLA-A,MAPK9	
Opioid Signalling	-0E00		1.11E-02	GNG5	
PEDF Signaling	-0E00		1.19E-02	AKT1	
PI Metabolism	-0E00		1.19E-02	RAB5A	
PI3K Signaling in B Lymphocytes	-0E00		3.34E-03	AKT1,MAP2K1	
PKCθ Signaling in T Lymphocytes	-0E00		1.78E-03	HLA-A	
PPARα/RXRα Activation	-0E00		9.76E-03	ACOX1,MAP2K1	
Pancreatic Secretion Signaling Pathway	-0E00		7.97E-03	AKT1,MLST8	
Parkinson's Signaling Pathway	-0E00		9.55E-03	Il36a,NDUFA2,NDUFV3	
Phospholipase C Signaling	-0E00		3.55E-03	GNG5,ITGAV,MAP2K1,PPP1R14A	
Platelet homeostasis	-0E00		1.16E-02	GNG5	
Post-translational modification: synthesis of GPI-anchored proteins	-0E00		1.08E-02	CD109	
Potassium Channels	-0E00		9.71E-03	GNG5	
Prolactin Signaling	-0E00		1.04E-02	MAP2K1	
Protein folding	-0E00		1.01E-02	GNG5	
Pyroptosis Signaling Pathway	-0E00		9.80E-03	TNFRSF1A	
RAF/MAP kinase cascade	-0E00		1.14E-02	ARRB1,MAP2K1,PDGFA	
RHOA Signaling	-0E00		8.00E-03	NRP2	
Regulation of Cellular Mechanics by Calpain Protease	-0E00		1.12E-02	ITGAV	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00		4.28E-03	MAP2K1,MAPK9	
