© 2000-2026 QIAGEN. All rights reserved.

Analysis Details for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Workspace	My Projects
Project	Testosterone Proteomics 2026-08
Analysis	Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Date	Thu Aug 13 17:04:22 PDT 2026
Analysis ID	43610731

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
(confidence = Experimentally Observed) AND
(data sources = An Open Access Database of Genome-wide Association Results OR BIND OR BioGRID OR Catalogue Of Somatic Mutations In Cancer (COSMIC) OR Chemical Carcinogenesis Research Information System (CCRIS) OR Clinical Genome Resource (ClinGen) OR ClinicalTrials.gov OR ClinVar OR Cognia OR DIP OR DrugBank OR Gene Ontology (GO) OR GVK Biosciences OR Hazardous Substances Data Bank (HSDB) OR HumanCyc OR Ingenuity Expert Findings OR Ingenuity ExpertAssist Findings OR IntAct OR Interactome studies OR MIPS OR miRBase OR miRecords OR Mouse Genome Database (MGD) OR Obesity Gene Map Database OR Online Mendelian Inheritance in Man (OMIM) OR Reactome OR TarBase OR TargetScan Human OR TargetScan Mouse)

Canonical Pathways for My Projects->Testosterone Proteomics 2026-08->Qualitative UP 372 - detected only in treated (ipa_qualita - 2026-08-13 08:04 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
ERBB3	transmembrane receptor	2	 	 	0.000	1.44E-09	1.90E-03	AKT (family),EGFR,ERBB2,ERBB3,ERK (family),ERK1/2 (family),IGF1R,MAP2K1,MAPK (family),MAPK1,MAPK3,MET,MTOR,P70 S6K (family),PGR,PI3K (complex),PI3K (family),RAC1,RAF1,RAS (family),RICTOR,SMAD2,TSC2	 	67 (23)	23	ADAM17,AZD8055,COLEC11,ERBB (family),EREG,IFNA2,JAG1,lipoarabinomannan,NHERF1,NRG (family),NRG1,NRG4,palbociclib,promegestone,PTK6,RSL3,tamoxifen,topotecan,TRA2B,UTP	afatinib,Angelica gigas Nakai extract,capmatinib,disulfiram,FCN-411,gefitinib,ilomastat,lapatinib,mir-10 (includes others),mir-148 (includes others),miR-323-3p (and other miRNAs w/seed ACAUUAC),morus alba L. extract,NOTCH1,osimertinib,OSM,rhus verniciflua stokes water extract,sapitinib,sirolimus,tiron,tuxobertinib,zanubrutinib	 	AXL,CCN2,CXCR4,ERK1/2 (family),GAS6,HMMR,IGF1R,IGF2,MAP2K1,MAPK (family),MAPK1,norepinephrine,P70 S6K (family),RAC (family),RICTOR,RPS6KB1,SPARC,TNC	ADAM9,BAX,CCNG2,CDKN1A,COL6A1,DUSP1,HMGA2	 	 	 	 	
cyproterone acetate	chemical drug	3	 	 	0.000	1.44E-09	3.19E-02	AHR,AKT (family),AKT1,APP,BRCA1,CREB1,CTNNB1,CYP19A1,cyproterone acetate,EGF,EGFR,ESR1,ESR2,G PROTEIN ALPHA I (family),GATA1,IGF1R,MAPK1,MMP (family),MMP2,NCOA1,NR1H4,PGR,PI3K (complex),PKC (family),SMAD2,SP1,STAT1,STAT3,STAT5B,STK11,tamoxifen,TP53,YAP1	 	109 (33)	32	 	 	 	KLK1	 	 	 	 	 	
RUNX1:CBFB:KMT2A:SPI1 gene:Nucleosome	complex	3	 	 	0.000	1.44E-09	8.40E-03	AKT (family),AKT1,CBFB,CREBBP,GATA3,H2AX,IRS1,JAK1,JUN,KMT2A,MAPK1,MAPK14,MAPK8,MLXIPL,MTOR,NFKB (complex),P38 MAPK (family),PRKDC,RUNX1,RUNX1:CBFB:KMT2A:SPI1 gene:Nucleosome,SPI1,STAT3,TP53	 	80 (23)	22	 	 	 	 	 	 	 	 	 	
PTH	other	2	 	 	0.000	1.46E-09	1.50E-03	AKT (family),CASP3,COLLAGEN(S) (complex),CREB (family),CREB1,DPP4,EGFR,EIF2AK3,ERK1/2 (family),FOS,HDAC4,IGF1R,IRS1,IRS2,JNK (family),JUN,MAP2K4,MAPK1,NR4A2,P38 MAPK (family),PKC (family),PTH,TNFSF11	 	67 (23)	23	citric acid,HNRNPD,lithium	pioglitazone,TFAP2B	 	ACP5,ALP (family),ANGPT1,CDKN1A,CSF1,DUSP1,EGFR,ERK1/2 (family),HDAC4,IGF1R,MAPK (family),MYOG,NDRG2,NHERF1,PLC BETA (family),PPP1R1A,PTGS2,PTHLH,PTHR (family),PUM1,resolvin D1,RUNX1,SLC20A1,SOD2,TGFB1	CASP3,DMP1,IGFBP3,LMNA,MAP2K4,MAPK1,reactive oxygen species	 	 	 	 	
4,5,6,7-tetrabromo-2-azabenzamidazole	chemical - kinase inhibitor	3	 	 	0.000	1.52E-09	1.31E-02	4,5,6,7-tetrabromo-2-azabenzamidazole,ACHE,ADAM17,AKT (family),ATG5,BCL2,BHLHE40,CD98 (family),CDC37,CDKN1B,CEBPB,disulfiram,EGFR,EIF4E,ERBB2,ESR1,ESR2,ESRRA,FOXC1,FOXO3,GLI1,GSK3B,HNF1A,HNF4A,HSF1,IGF1R,IGG2A (complex),IL6,IRS1,IRS2,JUN,KDM5A,MAP3K8,MAPK1,MYO5A,NKX2-1,NR3C1,NR4A1,NTRK1,PGK1,PGR,PI3K (family),PIK3CD,PPARA,PPARD,PPARG,PPARGC1A,PTEN,RAF1,REL,SIRT1,SLC7A5,SMAD2/3 (family),STK11,TAL1,TP53,XBP1,YAP1	 	130 (58)	55	 	 	 	TP53	 	 	 	 	 	
miR-217-5p (and other miRNAs w/seed ACUGCAU)	mature microRNA	3	 	 	0.000	1.55E-09	1.75E-02	ADAM17,AKT (family),AR,ATG5,CDKN1B,CREB (family),E2F1,EED,ERK1/2 (family),ESRRA,ESRRG,GSK3B,HIF1A,HNF1A,HSF1,HSPD1,IRS1,IRS2,JUN,LPIN1,MAPK14,MFN2,miR-217-5p (and other miRNAs w/seed ACUGCAU),MYC,NFE2L2,NFKBIA,NKX2-1,P38 MAPK (family),PI3K (complex),PPARA,PPARG,PPARGC1A,PRKCA,REL,SERPINE1,SIRT1,STAT1,STAT3,STK11,TP53,TP73,TRIM28,XBP1	 	104 (43)	42	 	 	 	 	BAX,IL1B,Scd1	 	 	 	 	
ULK1/2 (family)	group	3	 	 	0.000	1.56E-09	5.10E-03	BECN1,ETS2,MYC,NFKB (complex),NFKB2,P38 MAPK (family),PEX5,SOD1,TP53,ULK1,ULK1/2 (family),VCP,YAP1	 	73 (13)	11	 	 	 	VCP	 	 	 	 	 	
FOXO1,FOXO3,(FOXO4):FBXO32 gene	complex	3	 	 	0.000	1.56E-09	1.68E-02	26S PROTEASOME (complex),AKT (family),AKT1,AR,ATF4,CDKN1A,CDKN1B,CTNNB1,EGFR,ESR1,FBXO32,FOXO1,FOXO1,FOXO3,(FOXO4):FBXO32 gene,FOXO3,FOXO4,HIF1A,IRS1,JUN,MAPK1,MLXIPL,MTOR,MYC,MYOD1,NR1I2,P70 S6K (family),PPARG,PPRC1,RB1,SIRT1,SOD2	 	97 (30)	29	 	 	 	 	 	 	 	 	 	
PTPN1	phosphatase	2	 	 	0.000	1.56E-09	6.30E-03	AKT (family),AKT1,ALKBH5,BCR-ABL1,BMPR2,CD247,CREB (family),EGFR,EIF2AK3,EPRS1,ERK1/2 (family),ESR1,GSK3B,HUWE1,IGF1R,INSR,INSULIN (family),IRS1,IRS2,ITGB1,LEPR,MAPK1,MAPK14,MAPK8,MED1,MTOR,PI3K (complex),PTPN1,RAF1,RB (family),SMAD2,SMAD3,STAT3,STAT6,TCF12	 	91 (35)	35	dithiothreitol,F2,INTEGRIN (complex),palmitic acid,PRKACA,Scd1,SPRY2,tyrphostin AG 1024,YAP1	ABBV-CLS-579,bicarbonate,COP1,DUOX1,ganaxolone,IL13,lysophosphatidic acid,mir-142 (includes others),NDUFV1,OXTR,peroxynitrite,PPP2CA,reactive oxygen species,sitagliptin,sodium orthovanadate,suramin,tegeprotafib,trodusquemine,VCAM1	 	AKAP12,ALKBH5,BMPR2,CASP3,HUWE1,MARCKS,norepinephrine,NSF,PIK3R1,TTYH3	AXL,CD9,CSF1,CXCL8,DUSP1,EGFR,ERK1/2 (family),IGF1R,IL4R,ITGB1,MAPK (family),MAPK1,NPHS1,NTRK2,PAK2,PRKCZ,PTK6,RPS6KB1,SHC (family),STAT6,UCP1	 	 	 	 	
OSBPL8	transporter	3	 	 	0.000	1.56E-09	1.50E-02	ACHE,AKT (family),AKT1,BCL2,CCND1,CDKN1B,CEBPB,CHUK,CREB (family),disulfiram,EGFR,ESR1,ESR2,EZH2,FOXC1,FOXO3,GSK3B,HIF1A,HSF1,IRS1,JUN,KDM5A,LEF1,LPL,MAP3K8,MAPK1,MED1,MTOR,MYC,MYO5A,NFE2L2,NFKBIA,NLRP3,NR4A1,NRF1,OSBPL8,PLTP,POU5F1,PPARD,PPARGC1A,PPIA,PTEN,RPS6KA1,SMAD2/3 (family),SREBF1,STAT3,STK11,TAL1,THRA,TP53,TP73,TXNIP,VEGF (family),YAP1	 	118 (54)	52	PDK1	topotecan	 	NR1H3,SREBF2	APOE,HDL (complex)	 	 	 	 	
CCN2	growth factor	2	 	 	0.000	1.57E-09	3.70E-03	AKT (family),CCN2,CDKN1B,CREB (family),EGFR,ERK (family),ERK1/2 (family),GSK3B,IGF1R,MAPK1,MAPK14,MMP9,PI3K (complex),RELA,SECRETASE GAMMA (complex),SMAD3,SRC (family),SRF,TGFB1,TGFBR2,VEGFA	 	77 (21)	21	4-hydroxytamoxifen,adenine,AGT,ALB,alpha-tocopherol,ANKHD1,ARHGAP5,AXL,carbetocin,colchicine,decitabine,diethylstilbestrol,EDN1,EHD1,EPAS1,ERBB3,F2,GPER1,GPR37,HBEGF,HNRNPK,IL13,IL15,ITGB1,KDM2B,LIN28A,LPAR1,LRP6,lysophosphatidic acid,MALAT1,MAPK9,MRTFA,MRTFB,nicotine,norepinephrine,NOTCH1,NPM1,NRG1,OXTR,palmitic acid,PDGF-BB (complex),PHACTR1,promegestone,PTPRB,reactive oxygen species,RETN,RETNLB,RLIM,ROCK (family),RPRM,S100A16,SC79,SEMA7A,sirolimus,SLC3A2,SNAI2,SREBF2,ST6GAL1,TEAD2,TEADs:YAP1,telaglenastat,TGFB3,TP53BP2,TRA2B,USP1,VASN,VIM,WWTR1,YAP/TAZ (family),YAP1,ZEB1	25-hydroxycholesterol,4-phenylbutyric acid,5-N-ethylcarboxamido adenosine,ACE2,ALDH2,AMOT,APOE,atosibanum,BAP1,BDKRB2,bisindolylmaleimide iv,BQ 123,BRAP,butaprost,CCG-1423,CDKN1A,CDON,CLOCK,dasatinib,DBT,dobutamine,doxorubicin,EFNA5,enalapril,erlotinib,FBXW7,FGF1,FRMD6,fucoidin,galactosylceramide-alpha,GNB1,Go6983,herbimycin,HOXA4,IL1B,KIRREL1,KLK1,latrunculin B,LATS (family),LIMD1,lovastatin,MAP4K4,MED16,mir-17 (includes others),mir-30 (includes others),miR-30c-5p (and other miRNAs w/seed GUAAACA),MYCN,MYH3,NPPB,NUMB,OXT,PCBP2,pioglitazone,PIP5K1C,plerixafor,plicamycin,PRKAA (family),regorafenib,SB-431542,Sb202190,SB203580,SCARB2,SIRT6,sitagliptin,SMURF2,SOD2,stattic,STK3,tamoxifen,telmisartan,THZ1,torkinib,verteporfin,vismodegib,VLDLR,Y 27632,Z-LLL-CHO	 	ALP (family),CAVIN2,COLLAGEN (family),COLLAGEN TYPE I (complex),COLLAGEN TYPE IV (complex),IGF1R,IGF2,INTEGRIN (complex),PDGFB,PTPN11,RAC (family),SECRETASE GAMMA (complex),SPARC,TAGLN	ENO1	 	 	 	 	
AH 6809	chemical reagent	3	 	 	0.000	1.59E-09	3.60E-03	ACHE,AH 6809,AKT (family),AR,ATF2,BCL2,CDKN1B,CEBPB,CREB (family),CREB1,CSN2,D-glucose,disulfiram,EGFR,EGR2,ERN1,ESR1,ESR2,EZH2,FOS,FOXC1,FOXO3,GATA4,GLI1,GNAS,GNRH (family),GSK3B,HIF1A,HNF4A,HSF1,IRS2,JAK3,JUN,LIPA,MAP3K8,MTOR,MYC,MYO5A,NFE2L2,NLRP3,NR4A1,NRF1,P38 MAPK (family),PDE4D,PI3K (complex),PKA (complex),PNPLA2,POU5F1,PPARA,PPARD,PPARG,PPARGC1A,PPIA,PTEN,RARA,RPS6KA1,SIRT1,SMAD2/3 (family),SREBF1,STAT3,STK11,TAL1,TGFB1,TGM2,THRA,TP73,TPH1,TXNIP,VEGF (family),WT1,YAP1	 	121 (71)	69	 	 	 	 	RAPGEF3	 	 	 	 	
temozolomide	chemical drug	2	 	 	0.000	1.60E-09	4.30E-03	ABL1,AKT (family),AKT1,EGFR,ERK1/2 (family),F3,GSK3B,H2AX,MAPK14,NFKB (complex),P38 MAPK (family),temozolomide,TP53	 	68 (13)	13	 	 	 	ADAM17,BAX,CASP3,CDKN1A,ceramide,CHEK1,CHEK2,CXCL8,IL1B,PTGS2,PTPN11,reactive oxygen species,SNAI2,TP53,VIM	CNP,EGFR,ERK1/2 (family),MTORC1 (complex),SOD2	 	 	 	 	
CAVEOLIN (family)	group	3	 	 	0.000	1.60E-09	7.80E-03	ADAM17,AR,BCL2,CAV1,CAV3,CAVEOLIN (family),CD247,CDC42,CREB (family),CREB1,doxorubicin,EGR1,ERK1/2 (family),FGFR1,FOXO3,IGF1R,INSULIN (family),IRS1,IRS2,JUN,MAPK1,MAPK8,MTOR,MYC,NFKB (complex),NFKBIA,NOS2,NOS3,NTRK1,P70 S6K (family),PIK3R1,POU5F1,PRKG1,PTEN,PTGS2,RB1,SMAD2/3 (family),STAT1,TP53,ZAP70,ZHX2	 	91 (41)	39	INSR	oxysterol	 	 	 	 	 	 	 	
CREB3L3	transcription regulator	3	 	 	0.000	1.63E-09	8.00E-03	ACHE,ADAM17,AKT (family),ALP (family),BCL2,CAV1,CCND1,CDKN1B,CEBPB,CREB3L3,disulfiram,EGFR,ESR1,ESR2,ESRRA,FOSL1,FOXC1,GAB1,HIF1A,HMGA1,HSF1,INSR,INSULIN (family),IRS1,JAK1/2 (family),JUN,LEF1,MAP3K8,MAPK1,MED1,MEK (family),MTOR,MYC,MYO5A,NFE2L2,NLRP3,NR4A1,NRIP1,PI3K (complex),POU5F1,PPARD,PPARGC1A,PPIA,PRKCE,PRL,PTEN,RPS6KA1,SMAD2/3 (family),SREBF1,STAT5B,STK11,TEAD1,TP53,TP73,TXNIP,VEGF (family),YAP1	 	116 (57)	56	2-arachidonoylglycerol,CDCA8,MYD88	buparlisib,CTBP2,INSULIN (family),trametinib	 	FGF21,IGFBP2,INSIG2,PCK1	ALP (family),BGLAP,INSIG1,INSR	 	 	 	 	
ZEB1	transcription regulator	2	 	 	0.000	1.64E-09	6.50E-03	BAX,CCND1,H2AX,MMP14,MYC,NOTCH (family),RHOA,SERPINE1,STAT3,TP53,USP7,ZEB1	 	76 (12)	12	4-hydroxytamoxifen,AGT,CAV1,CCL7,CD2AP,CLOCK,CUL7,CXCL8,doxorubicin,EGFR,ERK1/2 (family),ESR2,FOXS1,IGF2,IGF2BP2,KIF4A,LINC01767,MALAT1,MEG3,PAK2,phosphatidic acid,PPID,PTAFR,RTN4,SKIL,SKP2,sorafenib,SPRY2,TACSTD2,TGFB1,TRIM29,UCA1,YAP1	bevacizumab,CDKN1A,cerulenin,decitabine,DGCR5,indisulam,LATS (family),mir-142 (includes others),mir-34 (includes others),NDRG1,NLRP12,palbociclib,PINK1,RBL1,SB-431542,Sb202190,SFN,sirolimus,TP53BP2,TRIM9	 	CCN2,CCNG2,CHEK1,EHD1,LAMC2,MMP7,NRP1,RNF8,SNAI2,TF,VIM	BAX,CGA,KISS1R,MUC1,MYH3,MYOG,PAX5,PNPLA2,PTGS2,reactive oxygen species,Scd1	 	 	 	 	
KCTD12	ion channel	3	 	 	0.000	1.66E-09	1.70E-02	AKT1,APP,AR,AURKA,BCL2,CDK1,CDKN1B,CDX2,EIF4E,ERK1/2 (family),EZH2,FOS,FOSL1,FOXM1,FOXO3,GSK3B,HMGA1,HNRNPK,ING1,JUN,KAT5,KCTD12,MAP2K1,MBD3,MYC,MYOD1,NFKBIA,NPM1,PAX8,PI3K (complex),RASSF1,RB1,SOX2,STAT1,STAT3,TP53,TP53BP2,TP63,TP73,VHL,VIM,YAP1	 	100 (42)	40	 	NRAS,SCARB2,STAT6	 	 	 	 	 	 	 	
6-methyl-2-(phenylethynyl)pyridine	chemical reagent	3	 	 	0.000	1.66E-09	4.40E-03	6-methyl-2-(phenylethynyl)pyridine,AKT (family),AKT1,CEBPB,CREB (family),CREB1,D-glucose,EGR2,EIF4E,ESR1,FGFR1,FOSL1,FOXO3,GATA4,GCG,IRS1,JUN,MAP2K4,MAPK1,MAPT,MITF,MMP2,NCOA1,NFATC2,NR4A1,P38 MAPK (family),PI3K (complex),PKC (family),PP2A (complex),PPARG,PPARGC1A,PTEN,PTPN5,RPS6KA1,RSK (family),SOD2,SP1,SRF,STK11	 	90 (39)	35	 	 	 	 	MAPT,norepinephrine,NPY,reactive oxygen species	 	 	 	 	
CCS/CU2+ (complex)	complex	3	 	 	0.000	1.67E-09	8.90E-03	26S PROTEASOME (complex),ACHE,AKR1B1,AKT (family),APP,CASP3,CCR1,CCS,CCS/CU2+ (complex),copper,CREB (family),Cu2+,ERK1/2 (family),HIF1A,IL2,MYC,NFKB (complex),P2RY2,PRKAA (family),RET,SOD1,SOD2,STAT1,TP53	 	84 (24)	21	 	 	 	 	 	 	 	 	 	
IL17RC	transmembrane receptor	3	 	 	0.000	1.67E-09	3.08E-02	AGO2,AGT,AKT (family),AKT1,ANXA7,CDC42,CREB (family),CREB1,CTNNB1,EGFR,ERBB2,ERK1/2 (family),FOS,FOXO3,GAB1,GNAS,GSK3B,HIF1A,HRAS,IL17RC,JINK1/2 (family),JNK (family),JUN,KLF4,KRAS,MAP2K4,MAPK1,MAPK7,MEF2C,MEK (family),MYC,NEDD9,NFE2L2,NFKB (complex),NFKBIA,NR4A1,NTRK1,ODC1,P38 MAPK (family),PGR,PI3K (complex),PPARG,PPARGC1A,PPP3R1,PRKCD,PTGS2,PTPRR,RB1,SP1,SPRY2,STAT1,STAT3,STAT5B,STAT6,STUB1,TAB1,TIMP1,YAP1	 	114 (58)	57	ALOX5,IL17A	 	 	EGFR,TGFB1	 	 	 	 	 	
4-hydroxytamoxifen	chemical drug	2	 	 	0.000	1.71E-09	8.30E-03	4-hydroxytamoxifen,AHR,AKT (family),EGFR,ERK1/2 (family),ESR1,ESRRG,ESTROGEN RECEPTOR (family),GPER1,IGF1,IGF1R,JUN,MAPK14,MYC,NFKB (complex),NR1I2,NRF1,P38 MAPK (family),SRC,TERT,YAP1	 	88 (21)	21	tamoxifen	 	 	BAX,BCL2L11,CCN2,CDKN1A,ceramide,DUSP1,EDN1,EGFR,ERRFI1,FGFR1,GPER1,IGFBP3,MAP2K1,OGT,RCC1,RGS16,SLC2A1,SNAI2,TACSTD2,TGFA,TP53,YAP1,ZEB1,ZNF148	BIRC5,citric acid,DDIT4,ERK1/2 (family),ESR2,HK1,IGF1R	 	 	 	 	
tyrphostin AG 1024	chemical drug	2	 	 	0.000	1.72E-09	3.00E-04	AKT (family),CYP19A1,EGFR,ERK (family),IGF1R,MAPK (family),MAPK1,PTPN1,tyrphostin AG 1024	 	46 (9)	9	 	 	 	PTPN1	EGFR,IGF1R,MAPK (family),MAPK1,MTORC2 (complex),NR5A1,PTGS2,RBL1	 	 	 	 	
PPP1R1A	phosphatase	3	 	 	0.000	1.75E-09	2.60E-03	ACLY,ADAM17,AKT (family),AKT1,AMPA RECEPTOR (complex),AURKA,AURKB,BCL2,CAMK2D,CASP3,CDK9,CREB (family),CTNNB1,GSK3B,KRAS,L-glutamic acid,MAP2K1,MAP2K2,MAPK (family),MAPK1,MTOR,NPM1,NR1I2,PP1 (complex),PPP1CA,PPP1R1A,PREX1,RAF1,RB (family),RB1,RYR1,SLC6A4,SLC9A1,TAFAZZIN,TIAM1,TOR1AIP1	 	68 (36)	32	MAPK (family),PTH	INSR,propranolol	 	AMPA RECEPTOR (complex)	 	 	 	 	 	
ECHS1	enzyme	3	 	 	0.000	1.76E-09	6.30E-03	AKT1,ATF4,CCND1,CDK4/6 (family),CDKN1B,CREB (family),ECHS1,FOXP3,GSK3B,IRS1,JINK1/2 (family),MAF1,MTOR,MTORC1 (complex),NR1H (family),P70 S6K (family),PAX6,PI3K (complex),RELA,RHOA,RICTOR,RXRG,SREBF1,SREBF2,TFEB,TP53	 	77 (26)	26	INSR,mono-(2-ethylhexyl)phthalate,NOTCH1,TFAM	FBXW7,IL17A	 	reactive oxygen species	MTORC1 (complex),NPPB	 	 	 	 	
CHD4	enzyme	3	 	 	0.000	1.81E-09	3.32E-02	AKT (family),ALPHA CATENIN (family),APC,AR,BTRC,CCND1,CEBPB,CHD4,CREBBP,CTNNB1,EGR2,ESRRA,EZH2,FOXO3,FOXO4,HIF (complex),HIF1A,JUN,LEF1,MAP2K4,MEK (family),MYC,P38 MAPK (family),POU5F1,PPARG,PTGS2,RAF1,SMAD3,SNAI2,STAT1,STAT3,TCF3,TCF7,TCF7L2,TP53,VIM	 	103 (36)	36	PIK3CD,Z-LLL-CHO	FBXW7	 	NDNF	CDKN1A,CHEK2,SOCS2,TIMP2,TP53	 	 	 	 	
FOXO1,FOXO1:PPARGC1A,FOXO3,FOXO4,FOXO6:G6PC gene	complex	3	 	 	0.000	1.82E-09	2.34E-02	AKT (family),AKT1,AR,ATF4,BACE1,CDKN1A,CDKN1B,D-glucose,EGFR,ESR2,ESRRA,FOXO1,FOXO1,FOXO1:PPARGC1A,FOXO3,FOXO4,FOXO6:G6PC gene,FOXO3,FOXO4,FOXO6,G6PC1,HIF1A,HNF4A,JUN,MAPK1,MLXIPL,MTOR,NFE2L2,NR1H4,NR1I2,NR3C1,NRF1,P70 S6K (family),PPARA,PPARD,PPARGC1A,PPRC1,RB1,RXRA,SIRT1,SOD2,T3/TR/RXR (complex),TFAM,TP53	 	102 (40)	37	 	 	 	 	 	 	 	 	 	
RORA,C:Coactivator:NR1D1 gene	complex	3	 	 	0.000	1.82E-09	3.05E-02	AKT (family),AR,ATF2,BACE1,CDK9,CEBPB,CYP19A1,EP300,ESR1,ESR2,ESRRA,ESRRG,FOXA2,FOXP3,GATA4,HIF1A,HNF4A,IL22,IRS1,JUN,MYOD1,NEUROD1,NFE2L2,NR1H4,NR3C1,NRF1,NRIP1,PPARA,PPARD,PPARGC1A,RORA,RORA,C:Coactivator:NR1D1 gene,RORC,RXRA,SP1,STAT3,TFAM,TP53,XBP1	 	112 (39)	36	 	 	 	 	 	 	 	 	 	
EXOCYST (complex)	complex	3	 	 	0.000	1.86E-09	2.50E-03	AKT (family),AKT1,CREBBP,CTNNB1,EGFR,ERK1/2 (family),ESR1,EXOC5,EXOC6B,EXOCYST (complex),GSK3B,IQGAP1,KAT5,MAPK1,MAPT,MTOR,P70 S6K (family),PARD3,SMAD3,STAT3,YAP1	 	76 (21)	17	 	 	 	IQGAP1,PARD3	 	 	 	 	 	
ENPP1	enzyme	3	 	 	0.000	1.88E-09	1.21E-02	ACHE,ADAM17,AKT (family),AKT1,ALP (family),BCL2,CCND1,CDKN1B,CEBPB,disulfiram,EGFR,ENPP1,ERBB2,ESR1,ESR2,FOSL1,FOXC1,GAB1,GSK3B,HIF1A,HNF4A,HRAS,HSF1,INSR,INSULIN (family),IRS1,IRS2,JAK1/2 (family),JUN,KDM5A,LEF1,MAP3K8,MAPK1,MTOR,MYC,MYO5A,NFE2L2,NLRP3,NR3C1,NR4A1,P38 MAPK (family),PI3K (complex),PIK3CD,PNPLA2,POU5F1,PPARD,PPARGC1A,PPIA,PPP2CA,PRKAA1,PRL,PTEN,RPS6KA1,SIRT1,SMAD2/3 (family),SREBF1,STAT3,STIM1,STK11,TAL1,TP53,TP73,TXNIP,TYROSINE KINASE (family),VEGF (family),YAP1	 	126 (66)	63	AGT,HRAS,IFNA2,PDGF-BB (complex),PIK3CG,TGFB1	estradiol-17beta-benzoate,IL1B	 	BGLAP	ALP (family),INSR	 	 	 	 	
lunsekimig	biologic drug	3	 	 	0.000	1.91E-09	2.45E-02	AKT (family),AKT1,ARG1,EGFR,ERK1/2 (family),FOS,HAND2,IL13,IL1B,IL9,IRS1,IRS2,JAK3,JNK (family),JUN,lunsekimig,MAPK8,MMP (family),MMP3,MTOR,NFATC3,NOS2,NR3C1,P38 MAPK (family),PI3K (complex),PPARG,SMAD2,STAT3,STAT4,STAT5B,STAT6,TGFB1,TNF,TSLP	 	101 (34)	32	 	 	 	 	IL13	 	 	 	 	
IL13	cytokine	2	 	 	0.000	1.95E-09	1.89E-02	AKT (family),AKT1,ARG1,EGFR,ERK1/2 (family),FOS,IL13,IL1B,IRS1,IRS2,JAK3,JNK (family),JUN,MAPK8,MMP (family),MMP3,MTOR,NFATC3,NOS2,NR3C1,P38 MAPK (family),PI3K (complex),PPARG,SMAD2,STAT3,STAT6,TGFB1,TNF	 	98 (28)	28	25-hydroxycholesterol,AGN194204,AGT,BIRC5,C5AR1,chrysotile asbestos,compound 48/80,doxorubicin,emodin,erlotinib,F2,formaldehyde,FPR1,galactosylceramide-alpha,IL15,IL17RA,IL3,IL9,ILF2,METTL3,MST1R,MUC1,MYD88,N-ethyl-N-nitrosourea,N-formyl-Met-Leu-Phe,NHERF1,OSM,PA2G4,PRKCZ,RPRM,RUNX1,S6K1 (family),SERPIN (family),SKP2,sorafenib,TAC1,TCR (complex)	4-methyl umbelliferone-8-carbaldehyde,ACOD1,ADIPOQ,AXL,C6,CCL19,ceramide,CMKLR1,FBXW7,IC87114,IFNA2,IFNB1,IGFBP3,INPPL1,lunsekimig,MIF,RGS16,Sb202190,SB203580,steroid,TFAM,topotecan	 	ADAM15,ADAM8,ARG1,BAX,BID,CASP3,CCL25,Ccl6,CCL7,CCN2,COLLAGEN TYPE I (complex),CP,CSF2RA,CTNNAL1,CXCL8,CXCR2,CYSLTR1,EPAS1,ERK1/2 (family),FKBP1A,G0S2,GAS6,HBEGF,HK1,IL13RA1/IL4R (complex),IL4R,ITGB1,MAPK (family),MMP (family),MMP7,PDGFC,PHLDA1,POSTN,PTGS2,SCGB3A1,SIRT6,SNAI2,SOX2,TFF3,TIMP2,UCP1,VCAM1,YAP1	ACE2,ACP5,CALCR,CCL20,CXCR4,CYTOCHROME-C OXIDASE (complex),GPNMB,HTRA1,ITGA6,MTSS1,MYOG,PID1,PTPN1,RPS6KA2	 	 	 	 	
FBN2	other	3	 	 	0.000	1.95E-09	1.54E-02	ADRB1,AKT (family),APP,AR,CCND1,CD38,CDC42,CREB (family),CREB1,CSN2,CXCL12,CYTOKINE (family),EGFR,EIF4E,ERN1,ESR1,FBN2,FOS,GATA4,GLI1,GNAS,GNRH (family),GSK3B,HNF4A,IGF1R,IRS1,IRS2,JAK1,JAK3,JUN,LIPA,LPL,MAP3K7,MAPK1,MMP9,MTOR,NFATC2,NLRP3,P38 MAPK (family),PDE4D,PI3K (complex),PKA (complex),PPARA,PPARD,PPARGC1A,RARA,RB1,RELA,RYR2,Serpina1a (includes others),SIRT1,SLC6A4,STK11,TGF BETA (family),TGFB1,TGM2,TNF,TP53,TPH1,VEGFA,WT1	 	118 (61)	59	decitabine,ESR2,GNB1,NKX2-3	ITGB1,PNPLA2	 	 	 	 	 	 	 	
