© 2000-2026 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Cellular Function and Maintenance	Metabolism of macromolecule	1.34E-70	Increased	3.678	ACACA,ACTB,ACTL6A,ACY1,ACY3,ADAM17,ADAM9,ADAMTS1,ADAMTS4,ADAMTS5,ADH5,ADI1,ADRM1,AHCY,AK1,ALAD,ALDH1A2,ALDH1L1,ALDOC,ANG,ANP32A,ANP32B,ANP32E,ANPEP,ANXA2,ANXA5,AOC3,AP1M1,AP2M1,AP3D1,APEH,APLP1,APLP2,APOE,ARF4,ARGLU1,ARHGAP1,ARHGDIB,ARSB,ASAH2,ASF1A,ATAD5,ATOX1,ATP6V1B2,ATP6V1C1,ATP6V1G1,ATP6V1H,B4GALT1,BAG2,BAG5,BAX,BID,BLMH,BLVRA,BPNT1,BZW1,C4a/C4b,CA5B,CAB39,CANX,CAPN2,CAPRIN1,CARHSP1,CASP3,CCL2,CCS,CCT5,CCT6A,CCT7,CD81,CD9,CDC34,CDC37,CDC73,CDH16,CDKN2AIP,CELSR3,CHI3L1,CHMP2A,CHMP3,CHMP4B,CHORDC1,CIRBP,CMPK2,CNN3,CNPY3,COL11A1,COL12A1,COL14A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL7A1,COPS2,COPS4,COPS5,COPS6,COPS8,COPZ1,CRIP1,CRKL,CRYAB,CRYL1,CS,CSDE1,CSNK2B,CSPG4,CSRP1,CTSH,CTSO,CTTN,CUL1,CUZD1,Cxcl1,Cxcl5,CYB5A,CYRIB,DCTN2,DCUN1D1,DDAH1,DDAH2,DDR1,DECR1,DLD,DLST,DNAJA1,DNAJA2,DNAJB4,DNAJC10,DNAJC24,DNM1L,DPEP3,DPP3,DPP7,DPYSL3,DSC2,DSP,DTYMK,DYNC1H1,ECHS1,EFEMP2,EFNB1,EFTUD2,EGFR,EHD1,EIF1AX,EIF2S2,EIF2S3,EIF3A,Eif3c,EIF3E,EIF3F,EIF3H,EIF4A3,EIF4B,EIF4E,EIF4G1,EIF4H,EIF5,ELAC2,ELOB,ELOC,ENAH,ENTPD5,ETF1,ETHE1,EXOSC2,EXT1,EXT2,EXTL2,FABP4,FAHD1,Faim,FBLN1,FBLN5,FBP1,FBXO22,FGA,FGL2,FH,FHL2,FIS1,FKBP4,FST,FSTL1,FUS,FXR1,G6PD,GABARAPL1,GALNT1,GARS1,GART,GAS6,GATM,GBA1,Gbp2,GDF15,GLB1,GLRX,GLRX3,GNB1,GOLM1,GPD1,GPD1L,GPS1,GRHPR,GSTK1,H2AX,H2bc1,H6PD,HADH,HAT1,HDGF,HEBP1,HEPH,HERC4,HGFAC,HINT1,HLA-A,HMGB1,HMGB2,HMGCS1,HMGN2,HNRNPA0,HNRNPDL,HNRNPF,HNRNPK,HNRNPL,HNRNPU,HNRNPUL1,HSD17B4,HSP90AA1,HSPH1,HTRA1,HTRA2,HYOU1,HYPK,IARS1,IDH2,IDH3A,IFI35,IFNAR2,IGF2,IL1RL1,IMMT,IMPA2,IMPACT,IMPDH2,INSL3,IPO7,IQGAP1,IRF3,ITGA3,ITGB1,ITM2B,JAG1,JUP,KHSRP,KIN,KYAT3,LAMA2,LAMA4,LAMC2,LAMP1,LAMP2,LAP3,LASP1,LECT2,LGALS3,LGALS9,LHPP,LIF,LIFR,LIN7C,LMNB1,LNPEP,LOXL3,LRP1,LRP2,LRP8,LSM2,LSM5,LSM6,LTF,LUM,Lyz1/Lyz2,LZTFL1,MACF1,MAD2L1,MAN2C1,MAPK1,MAPK14,MARCKSL1,MAT2A,MATR3,MBTPS1,MCAM,MCM2,MCM6,MEMO1,METAP1,METRNL,MFAP2,MIF,MMP14,Mmp3,MMP7,MOV10,MPRIP,MRC2,Mt1,MTAP,MVD,MVP,MYH11,MYH9,MYL12B,MYL9,MYLK,MYOF,NAE1,NAPA,NCL,NCOA5,NCSTN,NEDD4L,NEDD8,NEO1,NES,NEU1,NFU1,Nme1,NME3,NMI,NONO,NPM1,NPNT,NQO2,NRDC,NSF,NT5C3B,NUCB2,NUDT16,OGA,OGN,OLA1,OTUB1,P3H1,P4HA1,PA2G4,PABPN1,PAFAH1B1,PAIP1,PARP1,PBK,PCMT1,PCSK9,PDAP1,PDCD10,PDCD6,PDIA4,PDIA6,PDLIM1,PDLIM7,PEA15,PEPD,PF4,PFDN1,PFDN5,PGD,PGK1,PHGDH,PIK3IP1,PIN4,PITRM1,PIWIL2,PLAA,PLAT,PLCD1,PLOD3,PLRG1,PLXDC2,PLXNB2,PMPCB,PODXL,POFUT1,POLDIP2,POSTN,PPIF,PPM1A,PPM1B,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP2CA,PPP2CB,PPP4C,PPP5C,PPP6C,PRCP,PRDX5,PRKCSH,PROCR,PRPF19,PRSS23,PRSS35,PSIP1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD6,PSME3IP1,PSPH,PTBP2,PTGDS,PTGES3,PTMA,PTPA,PTS,PTX3,PURA,RAB1B,RAB21,RABIF,RACK1,RAD23A,RARS1,RBBP7,RBM3,RBP4,REXO2,RGN,RHEB,RNF114,RNH1,RPA3,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPN1,RPS11,RPS14,RPS16,RPS17,RPS18,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS9,RPSA,RRBP1,RRM1,RTN3,RUVBL1,S100A14,SAT2,SDCBP,SDF2,SDHA,SEC22B,SEC23B,SEC31A,SEMA5A,SEMA6C,SEMA6D,SEPHS1,SEPTIN11,SEPTIN9,SERBP1,SERPINC1,SERPINE2,SERPINF1,SERPING1,SERPINH1,SET,SGTA,SIAE,SLIT3,SLK,SMARCB1,SNRPA1,SNRPD1,SNRPD2,SNX12,SNX5,SNX6,SOD1,SORT1,SPIN1,Spink12,SPON2,SPP1,SPTBN1,SRI,SRP14,SSBP1,SSC5D,ST6GAL1,STAT1,STC2,STIP1,STRAP,SUGT1,SULF1,SUMF1,SUMO2,SUPT16H,SYNCRIP,TALDO1,TARDBP,TCP1,TGFB1,TGFB3,THBS2,THRAP3,TIMM50,TIMP1,TJP2,TLN1,TMEM132A,TMSB4X,TMTC3,TNFRSF1B,TPP2,TPR,TRIAP1,TSC22D1,TUBA1A,TUBB3,TWF2,TXNDC12,TXNDC17,TXNL1,UAP1L1,UBA3,UBA5,UBE2G1,UBE2H,UBE2L3,UBE2N,UBE2V1,UBE3A,UBL5,UBR2,UCHL5,UFM1,UQCRFS1,USP47,USP7,USP9X,VARS1,VASP,VCAN,VPS26A,VPS26B,VPS28,VPS35,WDR5,WFDC2,XDH,XPO7,XYLT1,YBX1,YBX2,YBX3,YWHAE,YWHAG,YWHAH,ZC3H15,ZNF207	592
Cellular Function and Maintenance,Protein Synthesis	Metabolism of protein	9.81E-69	Increased	3.539	ACACA,ACTB,ACTL6A,ACY1,ACY3,ADAM17,ADAM9,ADAMTS1,ADAMTS4,ADAMTS5,ADH5,ADI1,ADRM1,AHCY,AK1,ALAD,ALDH1A2,ALDH1L1,ALDOC,ANG,ANP32A,ANP32B,ANP32E,ANPEP,ANXA2,ANXA5,AOC3,AP1M1,AP2M1,AP3D1,APEH,APLP1,APLP2,APOE,ARF4,ARGLU1,ARHGAP1,ARHGDIB,ARSB,ASAH2,ASF1A,ATAD5,ATOX1,ATP6V1B2,ATP6V1C1,ATP6V1G1,ATP6V1H,B4GALT1,BAG2,BAG5,BAX,BID,BLMH,BLVRA,BPNT1,BZW1,C4a/C4b,CA5B,CAB39,CANX,CAPN2,CAPRIN1,CARHSP1,CASP3,CCL2,CCS,CCT5,CCT6A,CCT7,CD81,CD9,CDC34,CDC37,CDC73,CDH16,CDKN2AIP,CELSR3,CHI3L1,CHMP2A,CHMP3,CHMP4B,CHORDC1,CIRBP,CMPK2,CNN3,CNPY3,COL11A1,COL12A1,COL14A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL7A1,COPS2,COPS4,COPS5,COPS6,COPS8,COPZ1,CRIP1,CRKL,CRYAB,CRYL1,CS,CSDE1,CSNK2B,CSPG4,CSRP1,CTSH,CTSO,CTTN,CUL1,CUZD1,Cxcl1,Cxcl5,CYB5A,CYRIB,DCTN2,DCUN1D1,DDAH1,DDAH2,DDR1,DECR1,DLD,DLST,DNAJA1,DNAJA2,DNAJB4,DNAJC10,DNAJC24,DNM1L,DPEP3,DPP3,DPP7,DPYSL3,DSC2,DSP,DTYMK,DYNC1H1,ECHS1,EFEMP2,EFNB1,EFTUD2,EGFR,EHD1,EIF1AX,EIF2S2,EIF2S3,EIF3A,Eif3c,EIF3E,EIF3F,EIF3H,EIF4A3,EIF4B,EIF4E,EIF4G1,EIF4H,EIF5,ELAC2,ELOB,ELOC,ENAH,ENTPD5,ETF1,ETHE1,EXT1,EXT2,EXTL2,FABP4,FAHD1,Faim,FBLN1,FBLN5,FBP1,FBXO22,FGA,FGL2,FH,FHL2,FIS1,FKBP4,FST,FSTL1,FUS,FXR1,G6PD,GABARAPL1,GALNT1,GARS1,GART,GAS6,GATM,GBA1,Gbp2,GDF15,GLB1,GLRX,GLRX3,GNB1,GOLM1,GPD1,GPD1L,GPS1,GRHPR,GSTK1,H2AX,H2bc1,H6PD,HADH,HAT1,HDGF,HEBP1,HEPH,HERC4,HGFAC,HINT1,HLA-A,HMGB1,HMGB2,HMGCS1,HNRNPA0,HNRNPDL,HNRNPF,HNRNPK,HNRNPL,HNRNPU,HNRNPUL1,HSD17B4,HSP90AA1,HSPH1,HTRA1,HTRA2,HYOU1,HYPK,IARS1,IDH2,IDH3A,IFI35,IFNAR2,IGF2,IL1RL1,IMMT,IMPA2,IMPACT,IMPDH2,INSL3,IPO7,IQGAP1,IRF3,ITGA3,ITGB1,ITM2B,JAG1,JUP,KHSRP,KIN,KYAT3,LAMA2,LAMA4,LAMC2,LAMP1,LAMP2,LAP3,LASP1,LECT2,LGALS3,LGALS9,LHPP,LIF,LIFR,LIN7C,LMNB1,LNPEP,LOXL3,LRP1,LRP2,LRP8,LTF,LUM,Lyz1/Lyz2,LZTFL1,MACF1,MAD2L1,MAN2C1,MAPK1,MAPK14,MARCKSL1,MAT2A,MATR3,MBTPS1,MCAM,MCM2,MEMO1,METAP1,METRNL,MFAP2,MIF,MMP14,Mmp3,MMP7,MOV10,MPRIP,MRC2,Mt1,MTAP,MVD,MVP,MYH11,MYH9,MYL12B,MYL9,MYLK,MYOF,NAE1,NAPA,NCL,NCOA5,NCSTN,NEDD4L,NEDD8,NEO1,NES,NEU1,NFU1,Nme1,NME3,NMI,NONO,NPM1,NPNT,NQO2,NRDC,NSF,NUCB2,NUDT16,OGA,OGN,OLA1,OTUB1,P3H1,P4HA1,PA2G4,PABPN1,PAFAH1B1,PAIP1,PARP1,PBK,PCMT1,PCSK9,PDAP1,PDCD10,PDCD6,PDIA4,PDIA6,PDLIM1,PDLIM7,PEA15,PEPD,PF4,PFDN1,PFDN5,PGD,PGK1,PHGDH,PIK3IP1,PIN4,PITRM1,PLAA,PLAT,PLCD1,PLOD3,PLRG1,PLXDC2,PLXNB2,PMPCB,PODXL,POFUT1,POLDIP2,POSTN,PPIF,PPM1A,PPM1B,PPM1L,PPP1CA,PPP1CB,PPP1CC,PPP2CA,PPP2CB,PPP4C,PPP5C,PPP6C,PRCP,PRDX5,PRKCSH,PROCR,PRPF19,PRSS23,PRSS35,PSIP1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD6,PSME3IP1,PSPH,PTBP2,PTGDS,PTGES3,PTMA,PTPA,PTS,PTX3,PURA,RAB1B,RAB21,RABIF,RACK1,RAD23A,RARS1,RBBP7,RBM3,RBP4,RGN,RHEB,RNF114,RNH1,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPN1,RPS11,RPS14,RPS16,RPS17,RPS18,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS9,RPSA,RRBP1,RRM1,RTN3,RUVBL1,S100A14,SAT2,SDCBP,SDF2,SDHA,SEC22B,SEC23B,SEC31A,SEMA5A,SEMA6C,SEMA6D,SEPHS1,SEPTIN11,SEPTIN9,SERBP1,SERPINC1,SERPINE2,SERPINF1,SERPING1,SERPINH1,SET,SGTA,SIAE,SLIT3,SLK,SMARCB1,SNRPA1,SNRPD1,SNRPD2,SNX12,SNX5,SNX6,SOD1,SORT1,SPIN1,Spink12,SPON2,SPP1,SPTBN1,SRI,SRP14,SSBP1,SSC5D,ST6GAL1,STAT1,STC2,STIP1,STRAP,SUGT1,SULF1,SUMF1,SUMO2,SYNCRIP,TALDO1,TARDBP,TCP1,TGFB1,TGFB3,THBS2,THRAP3,TIMM50,TIMP1,TJP2,TLN1,TMEM132A,TMSB4X,TMTC3,TNFRSF1B,TPP2,TPR,TRIAP1,TSC22D1,TUBA1A,TUBB3,TWF2,TXNDC12,TXNDC17,TXNL1,UAP1L1,UBA3,UBA5,UBE2G1,UBE2H,UBE2L3,UBE2N,UBE2V1,UBE3A,UBL5,UBR2,UCHL5,UFM1,UQCRFS1,USP47,USP7,USP9X,VARS1,VASP,VCAN,VPS26A,VPS26B,VPS28,VPS35,WDR5,WFDC2,XDH,XPO7,XYLT1,YBX1,YBX2,YBX3,YWHAE,YWHAG,YWHAH,ZC3H15,ZNF207	581
Cancer,Organismal Injury and Abnormalities	Carcinoma	9.80E-66	 	-0.156	ABAT,ABHD10,ABHD14B,ACACA,ACO2,ACP6,ACTB,ACTL6A,ACTR3,ACY1,ACY3,ADAM17,ADAM9,ADAMTS1,ADAMTS4,ADAMTS5,ADH5,ADI1,ADK,ADPRS,ADRM1,ADSS2,AHCY,AIF1L,AK1,AKR1D1,AKR7A2,ALAD,ALDH16A1,ALDH1A2,ALDH1L1,ALDOC,AMACR,ANG,ANKFY1,ANP32A,ANP32B,ANP32E,ANPEP,ANXA2,ANXA5,AOC3,AOX1,AP1G1,AP1M1,AP1S1,AP1S2,AP2M1,AP3D1,APEH,APLP1,APLP2,APOE,ARF4,ARGLU1,ARHGAP1,ARHGDIB,ARL2BP,ARMC10,ARPC1A,ARPC2,ARPC5,ARPIN,ARSB,AS3MT,ASAH2,ASL,ATAD5,ATOX1,ATP5F1D,ATP6V1B2,ATP6V1C1,ATP6V1D,ATP6V1F,ATP6V1H,B4GALT1,BABAM1,BAG2,BAG5,BAX,BCAT2,BID,BLMH,BLVRA,BPNT1,BZW1,C12orf57,C1QTNF5,CA2,CA5B,CAB39,CACHD1,CAD,CANX,CAPN2,CAPRIN1,CARHSP1,CARS1,CASP3,CAVIN1,CBLN4,CBR3,CCDC80,CCL2,CCS,CCT5,CCT6A,CCT7,CD81,CD9,CDC34,CDC37,CDC73,CDH16,CDKN2AIP,CDKN2AIPNL,CELSR3,CGN,CHI3L1,CHMP2A,CHMP3,CHMP4B,CHORDC1,CIAO1,CILP,CIRBP,CLDN4,CLSTN2,CLYBL,CMPK2,CNN3,CNPY3,CNRIP1,COL11A1,COL12A1,COL14A1,COL15A1,COL16A1,COL18A1,COL1A2,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,COL7A1,COLEC12,COPE,COPG2,COPRS,COPS2,COPS4,COPS5,COPS6,COPS8,COPZ1,COPZ2,COX5A,COX5B,CPPED1,CPSF7,CRIP1,CRKL,CRYAB,CRYL1,CRYM,CRYZ,CS,CSDE1,CSNK2B,CSPG4,CSRP1,CTBS,CTSH,CTSO,CTTN,CUL1,CUTA,CUZD1,Cxcl1,Cxcl5,CYB5A,CYRIB,CZIB,DCPH1,DCTN2,DCTN3,DCUN1D1,DDAH1,DDAH2,DDR1,DDX46,DECR1,DERA,DHDH,DLD,DLST,DNAAF10,DNAJA1,DNAJA2,DNAJB4,DNAJC10,DNAJC24,DNM1L,DPCD,DPEP3,DPP3,DPP7,DPYSL3,DPYSL4,DSC2,DSP,DTD1,DTYMK,DYNC1H1,ECH1,ECHS1,EDF1,EFEMP2,EFNB1,EFTUD2,EGFR,EHD1,EIF1AX,EIF2S2,EIF2S3,EIF3A,EIF3E,EIF3F,EIF3H,EIF4A3,EIF4B,EIF4E,EIF4G1,EIF4H,EIF5,EIPR1,ELAC2,ELOB,ELOC,ENAH,ENO3,ENTPD5,EPB41L2,EPB41L3,EPYC,ERH,ESPN,ETF1,ETHE1,EXOSC2,EXT1,EXT2,EXTL2,FABP4,FAHD1,FAT3,FBLN1,FBLN5,FBP1,FBXO22,FGA,FGL2,FH,FHL2,FIS1,FKBP3,FKBP4,FLNB,FNTA,FNTB,FRZB,FST,FSTL1,FUCA1,FUCA2,FUS,FXR1,G6PD,GABARAPL1,GALK1,GALNT1,GARS1,GART,GAS6,GATD1,GATM,GBA1,GC,GDA,GDF15,GET3,GLB1,GLB1L,GLOD4,GLRX,GLRX3,GM2A,GMFB,GNB1,GNG12,GNS,GOLM1,GPC4,GPD1,GPD1L,GPS1,GPX7,GRHPR,GSTK1,GTF2A2,GUK1,GYG1,H1-1,H2AX,H6PD,HADH,HAT1,HDDC2,HDGF,HDGFL3,HDHD5,HEBP1,HEBP2,HEPH,HERC4,HEXB,HGFAC,HIBCH,HIC2,HINT1,HLA-A,HMBS,HMGB1,HMGB2,HMGCS1,HMGN2,HMGN5,HNRNPDL,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1,HNRNPUL2,HSD17B4,HSP90AA1,HSPH1,HTRA1,HTRA2,HYKK,HYOU1,HYPK,IARS1,IDH2,IDH3A,IFI35,IFNAR2,IFT22,IGF2,IL1RL1,IMMT,IMPA2,IMPACT,IMPDH2,INSL3,IPO4,IPO7,IQGAP1,IRF3,ISCA2,ITGA3,ITGB1,ITIH5,ITM2B,ITPA,IVD,JAG1,JUP,KCTD12,KHSRP,KIAA0319L,KIN,KPNA3,KYAT1,KYAT3,L3HYPDH,LAMA2,LAMA4,LAMC2,LAMP1,LAMP2,LANCL1,LAP3,LASP1,LAYN,LDHD,LECT2,LGALS3,LGALS9,LHPP,LIF,LIFR,LIN7C,LMAN2,LMNB1,LNPEP,LOXL3,LRP1,LRP2,LRP8,LSM2,LSM4,LSM5,LSM6,LSM8,LTF,LUM,LYPLA2,Lyz1/Lyz2,LZTFL1,MACF1,MAD2L1,MAN2A2,MAN2C1,MAPK1,MAPK14,MARCKSL1,MAT2A,MATR3,MBTPS1,MCAM,MCEE,MCFD2,MCM2,MCM6,MDH1,ME2,MEMO1,METAP1,METRNL,METTL26,MFAP2,MGARP,MGAT2,MIA3,MIF,MIX23,MLEC,MMP14,Mmp3,MMP7,MOB4,MOV10,MPRIP,MRC2,MRI1,MRTO4,MSRB3,Mt1,MTAP,MTR,MVD,MVP,MYG1,MYH11,MYH9,MYL12B,MYL9,MYLK,MYOF,NAA25,NAA50,NAE1,NAGA,NAGK,NANP,NAP1L4,NAPA,NAXE,NBL1,NCL,NCOA5,NCSTN,NDUFV2,NEDD4L,NEDD8,NENF,NEO1,NES,NEU1,NFU1,NID2,NIF3L1,NIT2,NME3,NMI,NONO,NPL,NPM1,NPNT,NPTX2,NQO2,NRDC,NSF,NSFL1C,NT5C2,NT5C3B,NUCB2,NUDT14,NUDT16,NUDT16L1,NUDT19,NUDT2,NUDT9,NUP37,NUTF2,NXN,OGA,OGN,OLA1,OLFML3,OSBP,OSTF1,OTUB1,P3H1,P4HA1,PA2G4,PABPN1,PAFAH1B1,PAIP1,PALM2AKAP2,PARP1,PBK,PCMT1,PCSK9,PDAP1,PDCD10,PDCD6,PDE6D,PDHB,PDIA4,PDIA6,PDLIM1,PDLIM7,PDXP,PEA15,PEPD,PF4,PFDN1,PFDN5,PGD,PGK1,PHGDH,PIK3IP1,PIN4,PITPNB,PITRM1,PIWIL2,PKP1,PLA2G15,PLAA,PLAT,PLCD1,PLOD3,PLPBP,PLRG1,PLXDC2,PLXNB2,PMPCB,PNKP,PODXL,POFUT1,POFUT2,POLDIP2,POLR2D,POLR2E,POLR2I,POSTN,PPA1,PPCS,PPIF,PPIH,PPIL3,PPM1A,PPM1B,PPM1L,PPM1N,PPP1CA,PPP1CB,PPP1CC,PPP1R12B,PPP1R7,PPP2CA,PPP2CB,PPP4C,PPP4R1,PPP5C,PPP6C,PPP6R3,PRCP,PRDX5,PRKCSH,PROCR,PRPF19,PRPF40A,PRSS23,PRSS35,PSIP1,PSMA6,PSMA8,PSMB10,PSMB4,PSMB7,PSMC2,PSMC3,PSMC4,PSMC5,PSMD12,PSMD14,PSMD5,PSMD6,PSMD9,PSME3IP1,PSPH,PTBP2,PTGDS,PTGES3,PTGES3L,PTGR3,PTMA,PTPA,PTPRZ1,PTS,PTX3,PURA,QSOX2,RAB18,RAB1B,RAB21,RAB5C,RABGGTB,RABIF,RACK1,RAD23A,RANBP3,RARS1,RBBP7,RBM3,RBP4,RCN1,RCN2,RENBP,REXO2,RGN,RHEB,RMDN1,RNASE4,RNF114,RNH1,RNPEP,RPA3,RPE,RPL14,RPL18,RPL22,RPL23A,RPL24,RPL27,RPL8,RPLP0,RPLP1,RPN1,RPS11,RPS13,RPS14,RPS16,RPS17,RPS19,RPS2,RPS20,RPS21,RPS25,RPS26,RPS28,RPS3,RPS3A,RPS8,RPSA,RRBP1,RRM1,RSPH1,RTN3,RTRAF,RUVBL1,S100A14,S100A6,SAT2,SCPEP1,SCRN2,SCRN3,SDCBP,SDF2,SDHA,SEC13,SEC23A,SEC23B,SEC31A,SEMA4B,SEMA5A,SEMA6C,SEMA6D,SEPHS1,SEPTIN11,SEPTIN9,SERBP1,SERPINC1,SERPINE2,SERPINF1,SERPING1,SERPINH1,SERPINI1,SET,SF3A1,SGTA,SH3BGRL2,SH3BGRL3,SHISA5,SIAE,SKIC8,SLC38A10,SLIT3,SLK,SLMAP,SMARCB1,SMS,SMYD5,SNRNP200,SNRPA1,SNRPB2,SNRPD1,SNRPD2,SNRPD3,SNRPF,SNRPG,SNX12,SNX5,SNX6,SOD1,SORD,SORT1,SPIN1,SPON2,SPP1,SPTBN1,SRI,SRP14,SRRT,SSBP1,SSC5D,SSU72,ST13,ST6GAL1,STARD10,STAT1,STC2,STIP1,STMN2,STRAP,SUCLA2,SUGT1,SULF1,SUMF1,SUMF2,SUMO2,SUPT16H,SVEP1,SYAP1,SYNCRIP,TALDO1,TARDBP,TARS1,TBC1D15,TCP1,TEX30,TGFB1,TGFB3,THBS2,THNSL2,THRAP3,THUMPD1,TIMCC,TIMM50,TIMM8B,TIMP1,TJP2,TKFC,TLN1,TMEM132A,TMOD3,TMSB4X,TMTC3,TNFRSF1B,TNPO2,TPD52L2,TPI1,TPM3,TPP2,TPR,TPRKB,TRAPPC2L,TRAPPC3,TRAPPC6B,TRIP10,TRNT1,TSC22D1,TSNAX,TTC38,TUBA1A,TUBB2A,TUBB3,TWF2,TXNDC12,TXNL1,TXNRD2,UAP1,UAP1L1,UBA3,UBA5,UBE2A,UBE2G1,UBE2L3,UBE2N,UBE2V1,UBE2V2,UBE3A,UBL5,UBLCP1,UBR2,UCHL5,UFM1,UQCRFS1,USO1,USP47,USP7,USP9X,VARS1,VASP,VCAN,VPS26A,VPS26B,VPS28,VPS35,WDR12,WDR5,WDR54,WDR90,WFDC2,XDH,XPO7,XRCC4,XYLT1,YBX1,YBX2,YBX3,YKT6,YWHAE,YWHAG,YWHAH,ZC3H15,ZNF207	872
