© 2000-2026 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
HGF Signaling	1.09E00	2.29E-02	NaN	MAP2K2,MAPK3,PTPN11	
Pexophagy	1.09E00	9.09E-02	NaN	SQSTM1	
NFE2L2 regulating tumorigenic genes	1.09E00	9.09E-02	NaN	EGF	
Glucose and Glucose-1-phosphate Degradation	1.09E00	9.09E-02	NaN	PGM5	
Glycogen Degradation II	1.09E00	9.09E-02	NaN	PGM5	
Kinesins	1.08E00	3.23E-02	NaN	TUBA1C,TUBB6	
fMLP Signaling in Neutrophils	1.08E00	2.26E-02	NaN	MAP2K2,MAPK3,PPP3CA	
NCAM signaling for neurite out-growth	1.07E00	3.17E-02	NaN	COL2A1,MAPK3	
Triacylglycerol Biosynthesis	1.07E00	3.17E-02	NaN	CLN5,OSGEP	
Gα12/13 Signaling	1.07E00	2.24E-02	NaN	CDH3,MAP2K2,MAPK3	
3-phosphoinositide Biosynthesis	1.07E00	1.85E-02	NaN	NT5C,PPP3CA,PRUNE1,PTPN11	
Peroxisomal protein import	1.06E00	3.12E-02	NaN	HMGCL,UBE2D3	
Maternal to Zygotic Transition Signaling Pathway	1.06E00	2.21E-02	NaN	MAP2K2,MAPK3,SMARCE1	
Signaling by Leptin	1.05E00	8.33E-02	NaN	PTPN11	
Assembly of RNA Polymerase I Complex	1.05E00	8.33E-02	NaN	POLR1C	
Ketogenesis	1.05E00	8.33E-02	NaN	HMGCL	
UDP-N-acetyl-D-galactosamine Biosynthesis II	1.05E00	8.33E-02	NaN	GNPNAT1	
Folate Transformations I	1.05E00	8.33E-02	NaN	MTHFD2	
RAB geranylgeranylation	1.05E00	3.08E-02	NaN	RAB10,RABGGTA	
Activation of IRF by Cytosolic Pattern Recognition Receptors	1.04E00	3.03E-02	NaN	FADD,PIN1	
STAT3 Pathway	1.04E00	2.16E-02	NaN	EGF,MAP2K2,MAPK3	
RHO GTPases Activate Formins	1.03E00	2.14E-02	NaN	CLASP1,TUBA1C,TUBB6	
CD40 Signaling	1.03E00	2.99E-02	NaN	MAP2K2,MAPK3	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	1.03E00	2.99E-02	NaN	MAP2K2,MAPK3	
ERBB4 Signaling	1.03E00	2.99E-02	NaN	MAP2K2,MAPK3	
SPINK1 General Cancer Pathway	1.03E00	2.99E-02	NaN	MAP2K2,MAPK3	
Advanced glycosylation endproduct receptor signaling	1.02E00	7.69E-02	NaN	MAPK3	
Cleavage and Polyadenylation of Pre-mRNA	1.02E00	7.69E-02	NaN	CPSF6	
Glycogen Degradation III	1.02E00	7.69E-02	NaN	PGM5	
Parkinson's Signaling Pathway	1.02E00	1.59E-02	NaN	ATP6V1E1,NDUFAB1,NDUFS4,TUBA1C,TUBB6	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	1.02E00	1.59E-02	NaN	COL2A1,MAP2K2,MAPK3,PPP3CA,SFRP4	
rRNA modification in the nucleus and cytosol	1.01E00	2.9E-02	NaN	DKC1,TRMT112	
Role of JAK1 and JAK3 in γc Cytokine Signaling	1.01E00	2.9E-02	NaN	MAPK3,PTPN11	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	1E00	2.08E-02	NaN	FADD,MAPK3,PPP3CA	
Iron homeostasis signaling pathway	1E00	2.08E-02	NaN	ATP6V1E1,EGF,MAPK3	
Glutamate and glutamine metabolism	9.9E-01	7.14E-02	NaN	GLS2	
Guanosine Nucleotides Degradation III	9.9E-01	7.14E-02	NaN	NT5C	
Estrogen Receptor Signaling	9.74E-01	1.43E-02	NaN	ATP5F1C,EGF,MAP2K2,MAPK3,NDUFAB1,NDUFS4	
COPII-mediated vesicle transport	9.65E-01	2.74E-02	NaN	GOLGA2,TRAPPC10	
Mitotic Telophase/Cytokinesis	9.61E-01	6.67E-02	NaN	SMC1A	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	9.61E-01	6.67E-02	NaN	NT5C	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	9.61E-01	1.69E-02	NaN	AFDN,F11R,MAP2K2,MAPK3	
Coronavirus Pathogenesis Pathway	9.57E-01	1.69E-02	NaN	MAPK3,MRPS27,RPS15,RPS24	
Dilated Cardiomyopathy Signaling Pathway	9.55E-01	1.99E-02	NaN	MAPK3,PTPN11,RYR2	
PTEN Signaling	9.55E-01	1.99E-02	NaN	CDKN1B,MAP2K2,MAPK3	
ERK5 Signaling	9.55E-01	2.7E-02	NaN	EGF,PTPN11	
Granzyme A Signaling	9.55E-01	2.7E-02	NaN	NDUFAB1,NDUFS4	
Nicotine Degradation III	9.55E-01	2.7E-02	NaN	ADH7,Aox2	
Stearate Biosynthesis I (Animals)	9.55E-01	2.7E-02	NaN	CLN5,OSGEP	
trans-Golgi Network Vesicle Budding	9.45E-01	2.67E-02	NaN	DNASE2,SNX2	
CGRP in Inflammation and Nociception Signaling Pathway	9.43E-01	1.96E-02	NaN	ECE1,MAPK3,PPP3CA	
mTOR Signaling	9.42E-01	1.67E-02	NaN	MAPK3,MRPS27,RPS15,RPS24	
Macropinocytosis Signaling	9.36E-01	2.63E-02	NaN	ARF6,EGF	
Caspase activation via Death Receptors in the presence of ligand	9.35E-01	6.25E-02	NaN	FADD	
Signal regulatory protein family interactions	9.35E-01	6.25E-02	NaN	PTPN11	
Extrinsic Prothrombin Activation Pathway	9.35E-01	6.25E-02	NaN	TFPI	
Superpathway of Citrulline Metabolism	9.35E-01	6.25E-02	NaN	GLS2	
D-myo-inositol (1,4,5)-trisphosphate Degradation	9.35E-01	6.25E-02	NaN	BPNT2	
Superpathway of Inositol Phosphate Compounds	9.32E-01	1.65E-02	NaN	NT5C,PPP3CA,PRUNE1,PTPN11	
ESR-mediated signaling	9.3E-01	1.94E-02	NaN	KPNA2,MAPK3,SMC1A	
Corticotropin Releasing Hormone Signaling	9.3E-01	1.94E-02	NaN	MAP2K2,MAPK3,NT5C	
Interferon alpha/beta signaling	9.26E-01	2.6E-02	NaN	HLA-A,PTPN11	
Angiopoietin Signaling	9.26E-01	2.6E-02	NaN	NCK1,PTPN11	
RAR Activation	9.25E-01	1.38E-02	NaN	ADH7,CDKN1B,EGF,F11R,MAPK3,SMARCE1	
Endocannabinoid Neuronal Synapse Pathway	9.18E-01	1.91E-02	NaN	DNAH3,MAPK3,PPP3CA	
Meiotic synapsis	9.17E-01	2.56E-02	NaN	SMC1A,SYCE2	
SUMOylation of DNA damage response and repair proteins	9.17E-01	2.56E-02	NaN	NUP58,SMC1A	
VDR/RXR Activation	9.17E-01	2.56E-02	NaN	CDKN1B,GTF2B	
Caveolar-mediated Endocytosis Signaling	9.17E-01	2.56E-02	NaN	EGF,HLA-A	
Thyroid Cancer Signaling	9.17E-01	2.56E-02	NaN	MAP2K2,MAPK3	
Epithelial Adherens Junction Signaling	9.12E-01	1.9E-02	NaN	AFDN,EGF,NF2	
Prolactin receptor signaling	9.1E-01	5.88E-02	NaN	PTPN11	
Metabolism of folate and pterines	9.1E-01	5.88E-02	NaN	MTHFD2	
Metabolism of nitric oxide: NOS3 activation and regulation	9.1E-01	5.88E-02	NaN	NMT2	
Protein methylation	9.1E-01	5.88E-02	NaN	ETFB	
FOXO-mediated transcription of cell cycle genes	9.1E-01	5.88E-02	NaN	CDKN1B	
RAN Signaling	9.1E-01	5.88E-02	NaN	KPNA2	
Adenosine Nucleotides Degradation II	9.1E-01	5.88E-02	NaN	NT5C	
Cyclophilin Signaling Pathway	9.09E-01	1.62E-02	NaN	HLA-A,MAP2K2,MAPK3,PPP3CA	
TREM1 Signaling	9.08E-01	2.53E-02	NaN	Cxcl2,MAPK3	
IL-7 Signaling Pathway	9.08E-01	2.53E-02	NaN	CDKN1B,MAPK3	
Ovarian Cancer Signaling	9.06E-01	1.89E-02	NaN	EGF,MAP2K2,MAPK3	
Wound Healing Signaling Pathway	9E-01	1.61E-02	NaN	COL2A1,EGF,MAP2K2,MAPK3	
IL-17A Signaling in Fibroblasts	8.99E-01	2.5E-02	NaN	MAPK3,P4HA2	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	8.99E-01	2.5E-02	NaN	MAP2K2,MAPK3	
Signaling by NTRK1 (TRKA)	8.91E-01	2.47E-02	NaN	MAP2K2,MAPK3	
Melatonin Signaling	8.91E-01	2.47E-02	NaN	MAP2K2,MAPK3	
Role of JAK family kinases in IL-6-type Cytokine Signaling	8.91E-01	2.47E-02	NaN	MAPK3,PTPN11	
Necroptosis Signaling Pathway	8.89E-01	1.85E-02	NaN	FADD,PPP3CA,TYRO3	
Gastrin-CREB signalling pathway via PKC and MAPK	8.87E-01	5.56E-02	NaN	MAPK3	
ER-Mitochondrial Communication Signaling Pathway	8.82E-01	2.44E-02	NaN	BCAP31,VAPB	
Chemokine Signaling	8.73E-01	2.41E-02	NaN	MAP2K2,MAPK3	
Mitochondrial Division Signaling Pathway	8.66E-01	1.81E-02	NaN	FADD,MAPK3,PPP3CA	
Signaling by Activin	8.65E-01	5.26E-02	NaN	MAPK3	
Glyoxylate metabolism and glycine degradation	8.65E-01	5.26E-02	NaN	HOGA1	
RHO GTPases activate CIT	8.65E-01	5.26E-02	NaN	CDKN1B	
PEDF Signaling	8.65E-01	2.38E-02	NaN	MAPK3,WASF2	
Integrin cell surface interactions	8.57E-01	2.35E-02	NaN	COL2A1,F11R	
LPS-stimulated MAPK Signaling	8.57E-01	2.35E-02	NaN	MAP2K2,MAPK3	
Role of MAPK Signaling in the Pathogenesis of Influenza	8.57E-01	2.35E-02	NaN	MAP2K2,MAPK3	
Nicotine Degradation II	8.57E-01	2.35E-02	NaN	ADH7,Aox2	
Docosahexaenoic Acid (DHA) Signaling	8.55E-01	1.54E-02	NaN	EGF,FADD,MAP2K2,MAPK3	
Gαq Signaling	8.55E-01	1.79E-02	NaN	MAP2K2,MAPK3,PPP3CA	
VEGF Family Ligand-Receptor Interactions	8.49E-01	2.33E-02	NaN	MAP2K2,MAPK3	
FGF Signaling	8.49E-01	2.33E-02	NaN	MAPK3,PTPN11	
BAG2 Signaling Pathway	8.49E-01	2.33E-02	NaN	MAPK3,STUB1	
Class I peroxisomal membrane protein import	8.45E-01	5E-02	NaN	PEX19	
Purine Nucleotides Degradation II (Aerobic)	8.45E-01	5E-02	NaN	NT5C	
PDGF Signaling	8.41E-01	2.3E-02	NaN	MAP2K2,MAPK3	
DYRK1A Signaling Pathway	8.33E-01	1.74E-02	NaN	CDKN1B,MAPK3,PPP3CA	
WNT/β-catenin Signaling	8.28E-01	1.73E-02	NaN	CDH3,PIN1,SFRP4	
RHO GTPases activate PAKs	8.25E-01	4.76E-02	NaN	NF2	
Co-inhibition by CTLA4	8.25E-01	4.76E-02	NaN	PTPN11	
Ribonucleotide Reductase Signaling Pathway	8.23E-01	1.72E-02	NaN	CDH3,MAPK3,SMARCE1	
Pulmonary Hypertension Signaling Pathway	8.17E-01	1.37E-02	NaN	MAP2K2,MAPK3,NT5C,PPP3CA,PTPN11	
Opioid Signalling	8.17E-01	2.22E-02	NaN	KPNA2,PPP3CA	
BMP signaling pathway	8.17E-01	2.22E-02	NaN	MAP2K2,MAPK3	
Regulation of TLR by endogenous ligand	8.07E-01	4.55E-02	NaN	GSDMD	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	8.07E-01	4.55E-02	NaN	BPNT2	
Chromatin modifying enzymes	8.06E-01	1.48E-02	NaN	ENY2,MORF4L1,MORF4L2,SMARCE1	
Acute Myeloid Leukemia Signaling	8.02E-01	2.17E-02	NaN	MAP2K2,MAPK3	
Unfolded protein response	8.02E-01	2.17E-02	NaN	DNAJC9,ERO1B	
Aldosterone Signaling in Epithelial Cells	8.02E-01	1.69E-02	NaN	DNAJC9,MAP2K2,MAPK3	
Stress Granule Signaling Pathway	8.02E-01	1.47E-02	NaN	MRPS27,RPS15,RPS24,UBAP2L	
EPH-Ephrin signaling	7.95E-01	2.15E-02	NaN	EFNA4,EFNA5	
Signaling by NODAL	7.89E-01	4.35E-02	NaN	MAPK3	
Nephrin family interactions	7.89E-01	4.35E-02	NaN	NCK1	
Nucleotide salvage	7.89E-01	4.35E-02	NaN	UPP2	
NAD Salvage Pathway II	7.89E-01	4.35E-02	NaN	NT5C	
Circadian Rhythm Signaling	7.78E-01	1.44E-02	NaN	MAP2K2,MAPK3,NT5C,RYR2	
Ion channel transport	7.77E-01	1.64E-02	NaN	ATP6V1E1,CLCA2,RYR2	
Interleukin-6 family signaling	7.72E-01	4.17E-02	NaN	PTPN11	
Regulation of RUNX1 Expression and Activity	7.72E-01	4.17E-02	NaN	PTPN11	
IL-22 Signaling	7.72E-01	4.17E-02	NaN	MAPK3	
Death Receptor Signaling	7.67E-01	2.06E-02	NaN	CASP6,FADD	
TGF-β Signaling	7.67E-01	2.06E-02	NaN	MAP2K2,MAPK3	
Apelin Adipocyte Signaling Pathway	7.67E-01	2.06E-02	NaN	GPX3,MAPK3	
Meiosis Initiation Signaling Pathway	7.6E-01	2.04E-02	NaN	SMC1A,SYCE2	
Small Cell Lung Cancer Signaling	7.6E-01	2.04E-02	NaN	CDKN1B,CKS1B	
Insulin processing	7.56E-01	4E-02	NaN	ERO1B	
Signaling by NTRK2 (TRKB)	7.56E-01	4E-02	NaN	PTPN11	
Growth hormone receptor signaling	7.56E-01	4E-02	NaN	MAPK3	
Hepatitis B Chronic Liver Pathogenesis Signaling Pathway	7.54E-01	1.6E-02	NaN	MAP2K2,MAPK3,PIN1	
IL-17 Signaling	7.49E-01	1.59E-02	NaN	Cxcl2,DEFB119,MAPK3	
Interleukin-20 family signaling	7.4E-01	3.85E-02	NaN	PTPN11	
IL-17A Signaling in Gastric Cells	7.4E-01	3.85E-02	NaN	MAPK3	
Estrogen-mediated S-phase Entry	7.4E-01	3.85E-02	NaN	CDKN1B	
Cellular response to heat stress	7.4E-01	1.98E-02	NaN	MAPK3,NUP58	
mRNA 3 Prime End Processing Signaling Pathway	7.27E-01	1.94E-02	NaN	CPSF6,MAPK3	
The Visual Cycle	7.26E-01	3.7E-02	NaN	Dhrs4	
IL-33 Signaling Pathway	7.22E-01	1.54E-02	NaN	CASP6,MAP2K2,MAPK3	
Kinetochore Metaphase Signaling Pathway	7.2E-01	1.92E-02	NaN	DNAH3,SMC1A	
Cargo recognition for clathrin-mediated endocytosis	7.14E-01	1.9E-02	NaN	EGF,EREG	
CDX Gastrointestinal Cancer Signaling Pathway	7.13E-01	1.52E-02	NaN	MAP2K2,MAPK3,PNN	
RNA m6A Methylation Signaling Pathway	7.13E-01	1.52E-02	NaN	MAPK3,RBMX,SMC1A	
Sulfur amino acid metabolism	7.11E-01	3.57E-02	NaN	CSAD	
Pyroptosis	7.11E-01	3.57E-02	NaN	GSDMD	
CDK5 Signaling	7.08E-01	1.89E-02	NaN	MAP2K2,MAPK3	
Paxillin Signaling	7.08E-01	1.89E-02	NaN	ARF6,NCK1	
PI3K/AKT Signaling	7.04E-01	1.51E-02	NaN	CDKN1B,MAP2K2,MAPK3	
Signaling by VEGF	7.02E-01	1.87E-02	NaN	NCK1,WASF2	
Nicotinate metabolism	6.98E-01	3.45E-02	NaN	NAPRT	
Processing of Capped Intronless Pre-mRNA	6.98E-01	3.45E-02	NaN	CPSF6	
Protein Kinase A Signaling	6.97E-01	1.24E-02	NaN	MAP2K2,MAPK3,PPP3CA,PTPN11,RYR2	
PPAR Signaling	6.96E-01	1.85E-02	NaN	MAP2K2,MAPK3	
Endothelin-1 Signaling	6.92E-01	1.49E-02	NaN	CASP6,ECE1,MAPK3	
T Cell Receptor Signaling	6.91E-01	1.13E-02	NaN	CDKN1B,HLA-A,MAP2K2,MAPK3,NCK1,PPP3CA,PTPN11	
ISGylation Signaling Pathway	6.9E-01	1.83E-02	NaN	RPS15,SQSTM1	
ID1 Signaling Pathway	6.87E-01	1.48E-02	NaN	CDKN1B,EGF,MAPK3	
Regulation of TP53 Activity through Acetylation	6.85E-01	3.33E-02	NaN	PIN1	
Signaling by NTRK3 (TRKC)	6.85E-01	3.33E-02	NaN	CASP6	
Co-inhibition by PD-1	6.85E-01	3.33E-02	NaN	PTPN11	
Mitochondrial translation	6.84E-01	1.82E-02	NaN	MRPL47,MRPS27	
MITF-M-dependent gene expression	6.84E-01	1.82E-02	NaN	ATP6V1E1,SMARCE1	
α-Adrenergic Signaling	6.84E-01	1.82E-02	NaN	MAP2K2,MAPK3	
Phase II - Conjugation of compounds	6.78E-01	1.8E-02	NaN	BPNT2,TRMT112	
Senescence-Associated Secretory Phenotype (SASP)	6.78E-01	1.8E-02	NaN	CDKN1B,MAPK3	
RNA Polymerase I Transcription	6.78E-01	1.8E-02	NaN	MAPK3,POLR1C	
Autism Signaling Pathway	6.75E-01	1.3E-02	NaN	HLA-A,MAP2K2,MAPK3,NF1	
Signaling by BMP	6.72E-01	3.23E-02	NaN	UBE2D3	
Signaling by CSF1 (M-CSF) in myeloid cells	6.72E-01	3.23E-02	NaN	PTPN11	
SWI/SNF chromatin remodelers	6.72E-01	3.23E-02	NaN	SMARCE1	
Clathrin-mediated Endocytosis Signaling	6.63E-01	1.44E-02	NaN	ARF6,EGF,PPP3CA	
Adrenomedullin signaling pathway	6.63E-01	1.44E-02	NaN	MAP2K2,MAPK3,NT5C	
Thrombin signalling through proteinase activated receptors (PARs)	6.6E-01	3.12E-02	NaN	MAPK3	
Hedgehog 'off' state	6.55E-01	1.74E-02	NaN	TUBA1C,TUBB6	
Sleep NREM Signaling Pathway	6.55E-01	1.74E-02	NaN	MAP2K2,MAPK3	
MAPK targets/ Nuclear events mediated by MAP kinases	6.48E-01	3.03E-02	NaN	MAPK3	
Glutathione Redox Reactions I	6.48E-01	3.03E-02	NaN	GPX3	
Activin Inhibin Signaling Pathway	6.47E-01	1.41E-02	NaN	CDKN1B,MAP2K2,MAPK3	
Myocardin Signaling Pathway	6.44E-01	1.71E-02	NaN	EGF,MAPK3	
Cholecystokinin/Gastrin-mediated Signaling	6.44E-01	1.71E-02	NaN	MAP2K2,MAPK3	
ABC-family proteins mediated transport	6.39E-01	1.69E-02	NaN	ABCF1,PEX19	
NF1 RAS Signaling Pathway	6.3E-01	1.12E-02	NaN	AFDN,EGF,MAP2K2,MAPK3,NF1,PTPN11	
Calcium Signaling	6.28E-01	1.38E-02	NaN	MAPK3,PPP3CA,RYR2	
Oxytocin in Spinal Neurons Signaling Pathway	6.26E-01	2.86E-02	NaN	NT5C	
GPVI-mediated activation cascade	6.26E-01	2.86E-02	NaN	PTPN11	
Oncogene Induced Senescence	6.26E-01	2.86E-02	NaN	MAPK3	
SUMOylation of SUMOylation proteins	6.26E-01	2.86E-02	NaN	NUP58	
Transcriptional Regulation by NPAS4	6.26E-01	2.86E-02	NaN	MAPK3	
Coagulation System	6.26E-01	2.86E-02	NaN	TFPI	
Multiple Sclerosis Signaling Pathway	6.24E-01	1.37E-02	NaN	FADD,HLA-A,MAPK3	
Renin-Angiotensin Signaling	6.18E-01	1.64E-02	NaN	MAP2K2,MAPK3	
Ethanol Degradation II	6.15E-01	2.78E-02	NaN	ADH7	
Proteasomal PSMD10 Signaling Pathway	6.13E-01	1.63E-02	NaN	EGF,MAPK3	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	6.13E-01	1.63E-02	NaN	MAP2K2,MAPK3	
IL-13 Signaling Pathway	6.08E-01	1.61E-02	NaN	DEFB119,MAPK3	
Telomere Maintenance	6.08E-01	1.61E-02	NaN	CHTF18,DKC1	
Detoxification of Reactive Oxygen Species	6.05E-01	2.7E-02	NaN	GPX3	
Mitochondrial Fatty Acid Beta-Oxidation	6.05E-01	2.7E-02	NaN	NDUFAB1	
Sphingosine-1-phosphate Signaling	6.03E-01	1.6E-02	NaN	CASP6,MAPK3	
Hepatic Cholestasis	6.02E-01	1.33E-02	NaN	MAP2K2,MAPK3,PPP3CA	
MIF-mediated Glucocorticoid Regulation	5.95E-01	2.63E-02	NaN	MAPK3	
Exocyst Signaling Pathway	5.94E-01	1.08E-02	NaN	ARF6,EGF,GOSR1,MAPK3,RAB10,WASF2	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	5.88E-01	1.31E-02	NaN	MAPK3,PPP3CA,SFRP4	
GP6 Signaling Pathway	5.88E-01	1.56E-02	NaN	COL2A1,NCK1	
Formation of Fibrin Clot (Clotting Cascade)	5.85E-01	2.56E-02	NaN	TFPI	
SUMOylation of ubiquitinylation proteins	5.85E-01	2.56E-02	NaN	NUP58	
Noradrenaline and Adrenaline Degradation	5.85E-01	2.56E-02	NaN	ADH7	
Asparagine N-linked glycosylation	5.79E-01	1.54E-02	NaN	GNPNAT1,NGLY1	
Interleukin-1 family signaling	5.79E-01	1.54E-02	NaN	PTPN11,SQSTM1	
Warburg Effect Signaling Pathway	5.79E-01	1.54E-02	NaN	EGF,PDHA1	
Thrombin Signaling	5.78E-01	1.29E-02	NaN	EGF,MAP2K2,MAPK3	
Neurotransmitter release cycle	5.76E-01	2.5E-02	NaN	GLS2	
Response to elevated platelet cytosolic Ca2+	5.69E-01	1.52E-02	NaN	EGF,ITIH4	
DAG and IP3 signaling	5.67E-01	2.44E-02	NaN	KPNA2	
RNA Polymerase III Transcription	5.67E-01	2.44E-02	NaN	POLR1C	
RET signaling	5.67E-01	2.44E-02	NaN	PTPN11	
Mitotic G1 phase and G1/S transition	5.65E-01	1.5E-02	NaN	CDKN1B,CKS1B	
Role of NFAT in Cardiac Hypertrophy	5.65E-01	1.27E-02	NaN	MAP2K2,MAPK3,PPP3CA	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	5.62E-01	1.16E-02	NaN	MAP2K2,MAPK3,PPP3CA,SFRP4	
Neuroprotective Role of THOP1 in Alzheimer's Disease	5.6E-01	1.49E-02	NaN	ECE1,HLA-A	
Osteoarthritis Pathway	5.58E-01	1.26E-02	NaN	CASP6,COL2A1,FADD	
Antigen Presentation Pathway	5.58E-01	2.38E-02	NaN	HLA-A	
cAMP-mediated signaling	5.52E-01	1.25E-02	NaN	MAP2K2,MAPK3,PPP3CA	
Signaling by SCF-KIT	5.49E-01	2.33E-02	NaN	PTPN11	
Smooth Muscle Contraction	5.49E-01	2.33E-02	NaN	ANXA1	
Intrinsic Prothrombin Activation Pathway	5.49E-01	2.33E-02	NaN	COL2A1	
Cerebral Malformation Signaling Pathway	5.47E-01	1.46E-02	NaN	CKS1B,MAPK3	
CGAS-STING Signaling Pathway	5.43E-01	1.45E-02	NaN	ATP6V1E1,GSDMD	
Role of PKR in Interferon Induction and Antiviral Response	5.43E-01	1.45E-02	NaN	FADD,MAPK3	
CCR3 Signaling in Eosinophils	5.43E-01	1.45E-02	NaN	MAP2K2,MAPK3	
PI3K Cascade	5.41E-01	2.27E-02	NaN	PTPN11	
Elastic fibre formation	5.41E-01	2.27E-02	NaN	MFAP4	
Signaling by Retinoic Acid	5.41E-01	2.27E-02	NaN	PDHA1	
TBC/RABGAPs	5.41E-01	2.27E-02	NaN	ARF6	
Collagen chain trimerization	5.41E-01	2.27E-02	NaN	COL2A1	
Gene Silencing by RNA	5.39E-01	1.44E-02	NaN	NUP58,TDRD1	
RAC Signaling	5.39E-01	1.44E-02	NaN	MAP2K2,MAPK3	
Tuberculosis Active Signaling Pathway	5.36E-01	1.22E-02	NaN	ATP6V1E1,GSDMD,PPP3CA	
Defensins	5.32E-01	2.22E-02	NaN	DEFB119	
P2Y Purinergic Receptor Signaling Pathway	5.3E-01	1.42E-02	NaN	MAP2K2,MAPK3	
Neddylation	5.3E-01	1.21E-02	NaN	COMMD2,SQSTM1,UBE2D3	
SUMOylation of DNA replication proteins	5.24E-01	2.17E-02	NaN	NUP58	
M-decay: degradation of maternal mRNAs by maternally stored factors	5.24E-01	2.17E-02	NaN	KPNA2	
MIF Regulation of Innate Immunity	5.24E-01	2.17E-02	NaN	MAPK3	
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	5.24E-01	2.17E-02	NaN	CASP6	
Orexin Signaling Pathway	5.23E-01	1.2E-02	NaN	ATP6V1E1,MAPK3,PTPN11	
MSP-RON Signaling in Cancer Cells Pathway	5.22E-01	1.4E-02	NaN	MAP2K2,MAPK3	
Role of RIG1-like Receptors in Antiviral Innate Immunity	5.17E-01	2.13E-02	NaN	FADD	
Apelin Endothelial Signaling Pathway	5.14E-01	1.38E-02	NaN	MAP2K2,MAPK3	
Neutrophil degranulation	5.13E-01	1.05E-02	NaN	CYSTM1,GSDMD,NAPRT,PGRMC1,RAB10	
XBP1(S) activates chaperone genes	5.09E-01	2.08E-02	NaN	DCTN1	
SUMOylation of RNA binding proteins	5.09E-01	2.08E-02	NaN	NUP58	
DNA Damage Bypass	5.09E-01	2.08E-02	NaN	UBE2B	
TP53 Regulates Transcription of Cell Cycle Genes	5.02E-01	2.04E-02	NaN	CDKN1B	
Pyruvate metabolism	5.02E-01	2.04E-02	NaN	PDHA1	
Signaling by NOTCH3	4.95E-01	2E-02	NaN	EGF	
MYC Mediated Apoptosis Signaling	4.95E-01	2E-02	NaN	FADD	
nNOS Signaling in Neurons	4.95E-01	2E-02	NaN	PPP3CA	
nNOS Signaling in Skeletal Muscle Cells	4.95E-01	2E-02	NaN	RYR2	
Breast Cancer Regulation by Stathmin1	4.94E-01	9.93E-03	NaN	CDKN1B,EGF,MAP2K2,MAPK3,TUBA1C,TUBB6	
PTEN Regulation	4.9E-01	1.32E-02	NaN	MAPK3,STUB1	
Transcriptional regulation by RUNX2	4.87E-01	1.96E-02	NaN	MAPK3	
Assembly of RNA Polymerase II Complex	4.87E-01	1.96E-02	NaN	GTF2B	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	4.87E-01	1.96E-02	NaN	CKS1B	
Glutathione-mediated Detoxification	4.81E-01	1.92E-02	NaN	Gstt3	
Amyloid Processing	4.81E-01	1.92E-02	NaN	MAPK3	
Relaxin Signaling	4.76E-01	1.29E-02	NaN	MAPK3,NT5C	
Spliceosomal Cycle	4.74E-01	1.89E-02	NaN	DHX15	
Cardiac Hypertrophy Signaling	4.69E-01	1.12E-02	NaN	MAP2K2,MAPK3,PPP3CA	
Retinol Biosynthesis	4.67E-01	1.85E-02	NaN	Dhrs4	
UVB-Induced MAPK Signaling	4.67E-01	1.85E-02	NaN	MAPK3	
Signaling by Rho Family GTPases	4.67E-01	1.12E-02	NaN	CDH3,MAP2K2,MAPK3	
p75 NTR receptor-mediated signalling	4.65E-01	1.27E-02	NaN	AATF,SQSTM1	
Colorectal Cancer Metastasis Signaling	4.61E-01	1.11E-02	NaN	EGF,MAP2K2,MAPK3	
Amino acids regulate mTORC1	4.61E-01	1.82E-02	NaN	ATP6V1E1	
Lymphotoxin β Receptor Signaling	4.61E-01	1.82E-02	NaN	MAPK3	
HMGB1 Signaling	4.58E-01	1.25E-02	NaN	MAP2K2,MAPK3	
CSDE1 Signaling Pathway	4.55E-01	1.79E-02	NaN	PTBP1	
Interleukin-3, Interleukin-5 and GM-CSF signaling	4.55E-01	1.79E-02	NaN	PTPN11	
CD27 Signaling in Lymphocytes	4.55E-01	1.79E-02	NaN	MAP2K2	
FAT10 Signaling Pathway	4.55E-01	1.79E-02	NaN	SQSTM1	
Microautophagy Signaling Pathway	4.54E-01	1.24E-02	NaN	COL2A1,SQSTM1	
Xenobiotic Metabolism General Signaling Pathway	4.48E-01	1.23E-02	NaN	MAP2K2,MAPK3	
Transcriptional Regulatory Network in Embryonic Stem Cells	4.44E-01	1.22E-02	NaN	MAP2K2,MAPK3	
Sleep REM Signaling Pathway	4.37E-01	1.69E-02	NaN	MAPK3	
Semaphorin Signaling in Neurons	4.37E-01	1.69E-02	NaN	MAPK3	
